name,log_obs,RMSE,open_loop
Handwritten,-16.79 ± 0.31,1.468 ± 0.014,4.0102 ± 0.0083
Super_Hand,-5.4873 ± 0.0098,1.1504 ± 0.002,3.2488 ± 0.0073
Super_TV,-11.78 ± 0.45,1.224 ± 0.015,3.937 ± 0.016
Super_noiseless,1.3658 ± 0.0087,0.61811 ± 0.00096,0.9205 ± 0.0033
EM,1.7128 ± 0.005,0.6282 ± 0.0017,0.9366 ± 0.0032
VI,-1.379 ± 0.04,0.5798 ± 0.0029,0.73468 ± 0.00097
