name,log_obs,RMSE,open_loop
Handwritten,13.29 ± 0.51,1.001 ± 0.011,4.0152 ± 0.009
Super_Hand,27.695 ± 0.065,0.6959 ± 0.0046,2.1231 ± 0.0092
Super_TV,22.68 ± 0.24,0.7193 ± 0.0062,3.0301 ± 0.0068
Super_noiseless,38.0 ± 0.14,0.4128 ± 0.0016,0.8797 ± 0.0039
EM,40.2511 ± 0.0074,0.41802 ± 0.00064,0.911 ± 0.0042
VI,-1.6 ± 2.4,0.69 ± 0.012,1.5998 ± 0.006
