Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w
1638480235.69586,1646,1638480235,591795051,world,-2.6484188553989494,-0.6181431189607387,0.33723067944380253,0.008491695391360353,0.009098538630028144,-0.6876893963400734,0.7258983412748673
1638480235.6961837,1647,1638480235,601391826,world,-2.648410107288086,-0.6181512913402113,0.33728316801338337,0.00834554271849079,0.009274832922274283,-0.6877189159254845,0.725869838241867
1638480235.696728,1648,1638480235,611389166,world,-2.648414695967599,-0.6181520313955915,0.3373212775647151,0.008388491220126424,0.009423607489531529,-0.6877075232668405,0.7258782206948499
1638480235.6967628,1649,1638480235,621459183,world,-2.648452009890671,-0.6180974436550405,0.3372921033850938,0.008428536246650919,0.00923170210190325,-0.68771439757477,0.725873709967107
1638480235.6972263,1650,1638480235,631437770,world,-2.648403609080076,-0.618163731879821,0.3372775189443101,0.008415389177873888,0.009241084413735636,-0.6876974984256957,0.7258897535045411
1638480235.698398,1651,1638480235,641343810,world,-2.6484084050791585,-0.6181728521036404,0.3372598482403243,0.008363963598183045,0.009257317003010346,-0.6876946036437509,0.7258928834987284
1638480235.698458,1652,1638480235,651371584,world,-2.64842444747702,-0.6181436198561623,0.337241020041778,0.00847797230295226,0.009100941891715677,-0.6877186606906037,0.7258707464695325
1638480235.6985066,1653,1638480235,661442209,world,-2.6484078330414005,-0.6181320970912361,0.3372575281519653,0.008441719305628769,0.009097780780842597,-0.6877066416820145,0.7258825957043427
1638480235.698593,1654,1638480235,671459711,world,-2.6484208095676096,-0.6181241129936247,0.3372934942610168,0.008431605737186388,0.009274539671081081,-0.6877154589073016,0.7258721227037871
1638480235.6989493,1655,1638480235,681468060,world,-2.648402022259236,-0.6181568173161411,0.337299860755457,0.008414845811145362,0.009237203477948463,-0.6876909841883444,0.7258959806390636
1638480235.7001345,1656,1638480235,691384500,world,-2.648419596565694,-0.6181486476873574,0.33726435168159985,0.008462118434642315,0.00921290469832481,-0.6877138146019345,0.7258741103967503
1638480235.7051594,1657,1638480235,702707192,world,-2.648430368799899,-0.618150637588615,0.3372505343287102,0.008481866991632036,0.009083973128818078,-0.6877212128511239,0.7258684954997774
1638480235.712752,1658,1638480235,711461970,world,-2.6484105602083274,-0.6181604009219271,0.33726291519625995,0.008354473994318474,0.009280257785579386,-0.6877083856153596,0.7258796428706533
1638480235.7219706,1659,1638480235,721314375,world,-2.6484220736053867,-0.6181221865727162,0.33726358572361365,0.008505273218625313,0.009111927678311812,-0.687704233468691,0.7258839579235112
1638480235.7318795,1660,1638480235,731420777,world,-2.6484155647485377,-0.6181184522490968,0.3372717286911496,0.008460472747683424,0.009085816599163937,-0.6877082382777542,0.7258810145902149
1638480235.7418942,1661,1638480235,741287487,world,-2.6484136718299562,-0.6181278870849064,0.3372792775919551,0.008397651370491078,0.009285352826720406,-0.687724442583288,0.7258638665396211
1638480235.75198,1662,1638480235,751468869,world,-2.648446483321647,-0.6181335387477902,0.33727618682969895,0.008521861306107855,0.0091177163269231,-0.6875941935973957,0.7259879269381884
1638480235.761725,1663,1638480235,761328027,world,-2.6484161030020403,-0.6181453599446269,0.33726953401413656,0.008447698062183878,0.00922623831810816,-0.687714265759517,0.7258736815691805
1638480235.7719269,1664,1638480235,771398843,world,-2.6484137029453922,-0.618132118790585,0.3372461555808158,0.008469189104621229,0.009071463599046198,-0.6877122283672112,0.7258773121804305
1638480235.7821915,1665,1638480235,781764236,world,-2.6484105116883985,-0.6181505236395426,0.33728096855575995,0.008455502203434445,0.009111516603935933,-0.6877029896162954,0.7258857229760575
1638480235.7926533,1666,1638480235,791381652,world,-2.648413321526297,-0.6181140814357443,0.3372711438772375,0.0085004905426752,0.009065431873576103,-0.6877066163974461,0.725882338515448
1638480235.8021185,1667,1638480235,801478710,world,-2.648418953585951,-0.6181335203843492,0.33728230561855577,0.00848975345849937,0.009104213227988534,-0.6877108043550328,0.7258780110742211
1638480235.8121243,1668,1638480235,811407151,world,-2.6484129712280136,-0.6181344046496552,0.3372690240684461,0.008430918718369958,0.009229628972218058,-0.6877072008917424,0.7258805269465797
1638480235.82491,1669,1638480235,821317927,world,-2.648413243825312,-0.6181309425312399,0.3372552534982512,0.008507950975377302,0.009110320720979326,-0.687711442854725,0.7258771164551434
1638480235.8320825,1670,1638480235,831296354,world,-2.6484236897998827,-0.6181332852008822,0.3372508118308141,0.008477843254928069,0.009098413635389716,-0.6877152290115329,0.7258740309645187
1638480235.8421538,1671,1638480235,841364643,world,-2.6484186583300597,-0.61813065937005,0.33725329231882184,0.008517034059349142,0.009056624179266906,-0.6877111026579251,0.7258780041923907
1638480235.8520815,1672,1638480235,851505479,world,-2.648414183069377,-0.618158621271476,0.3372815017375466,0.00842721414105965,0.009256884382151243,-0.6877188932544768,0.7258691452418913
1638480235.8619888,1673,1638480235,861345627,world,-2.648401759961027,-0.618152814024955,0.3373038065419751,0.008414138156580112,0.00925161418542148,-0.6877022220529573,0.7258851587527266
1638480235.8726797,1674,1638480235,871332279,world,-2.648411759546123,-0.6181339675371912,0.3372658646609955,0.00850595916284901,0.009080672836253646,-0.6877241790180791,0.7258654445787249
1638480235.8817983,1675,1638480235,881305299,world,-2.6484186764632645,-0.6181376446201813,0.3372813378941052,0.008417954468667947,0.009270491460695493,-0.6877357438460636,0.7258531136994195
