method,log_obs,total,location,velocity,angle,ω,fw_total,fw_location,fw_velocity,fw_angle,fw_ω
Handwritten,11.90304868561881,1.0454309,0.5542005,0.8302393,0.1032903,0.25226647,1.1019665,0.47154167,0.9383914,0.15136732,0.29199052
FitHand,27.357055146353588,0.9264042,0.44558945,0.7648748,0.086930074,0.23182073,0.94596255,0.3729273,0.8249788,0.10668532,0.25026432
FitTV,18.7970630475453,0.8436621,0.5041727,0.5804644,0.1081064,0.29621607,0.9972016,0.4611546,0.77550733,0.2127041,0.3597745
FitTruth,33.80917856352669,0.40616116,0.23756814,0.26174116,0.06310262,0.1573299,0.40737304,0.1744649,0.30844086,0.08530135,0.18194145
EM,33.569657591411044,0.4505686,0.25783736,0.32632405,0.06273447,0.15424159,0.4538842,0.20010446,0.36143464,0.07889367,0.17061618
