method,log_obs,total,location,velocity,angle,ω,fw_total,fw_location,fw_velocity,fw_angle,fw_ω
Handwritten,11.136 ± 0.076,1.1039 ± 0.0042,0.5432 ± 0.0051,0.8931 ± 0.0019,0.1054 ± 0.001,0.3082 ± 0.00056,1.197 ± 0.021,0.5168 ± 0.0062,1.006 ± 0.022,0.169 ± 0.0024,0.3522 ± 0.0011
FitHand,18.2 ± 0.69,0.857 ± 0.02,0.413 ± 0.0061,0.68 ± 0.023,0.0967 ± 0.002,0.2746 ± 0.0029,0.899 ± 0.021,0.3636 ± 0.0063,0.75 ± 0.022,0.13565 ± 0.0003,0.3065 ± 0.0025
FitTV,-5.5 ± 6.6,0.902 ± 0.029,0.532 ± 0.028,0.598 ± 0.016,0.1418 ± 0.0022,0.3704 ± 0.0047,1.146 ± 0.025,0.503 ± 0.018,0.865 ± 0.029,0.292 ± 0.013,0.477 ± 0.017
FitTruth,-12.4 ± 8.1,0.6114 ± 0.0059,0.4115 ± 0.0063,0.3759 ± 0.0045,0.1072 ± 0.006,0.1935 ± 0.006,0.5838 ± 0.0048,0.2515 ± 0.0029,0.452 ± 0.0095,0.1304 ± 0.003,0.2371 ± 0.0057
EM,-1.3 ± 2.0,0.645 ± 0.0023,0.421 ± 0.003,0.4174 ± 0.0052,0.101 ± 0.0014,0.2019 ± 0.0054,0.6159 ± 0.005,0.2919 ± 0.0037,0.4744 ± 0.0041,0.11865 ± 0.00081,0.2345 ± 0.0049
