method,log_obs,RMSE
Handwritten,-284.2 ± 9.2,1.3391 ± 0.0064
FitHand,51.03 ± 0.21,0.7734 ± 0.0023
FitTV,-9.6 ± 16.0,0.862 ± 0.028
FitTruth,47.2 ± 1.4,0.753 ± 0.013
EM,58.67 ± 0.51,0.51842 ± 0.00065
SVI,-1860.0 ± 790.0,5.9 ± 1.9
