method,log_obs,RMSE
Handwritten,-1257.9507870852947,1.4862626
FitHand,33.7034291639924,0.5240304
FitTV,-76.45366662219166,1.350968
FitTruth,39.04913290292025,0.3268024
EM,39.093588538467884,0.3760904
