method,log_obs,total,location,velocity,angle,ω,fw_total,fw_location,fw_velocity,fw_angle,fw_ω
Handwritten,-25.91 ± 0.085,1.6876 ± 0.0069,1.2987 ± 0.0061,0.9717 ± 0.0038,0.2475 ± 0.002,0.26781 ± 0.00048,1.1077 ± 0.002,0.4745 ± 0.0032,0.9444 ± 0.0038,0.1538 ± 0.0014,0.2937 ± 0.0026
FitHand,-20.06 ± 0.78,1.24 ± 0.14,0.99 ± 0.11,0.604 ± 0.098,0.2187 ± 0.009,0.288 ± 0.023,0.783 ± 0.057,0.352 ± 0.027,0.602 ± 0.075,0.161 ± 0.019,0.312 ± 0.028
FitTV,-28.95 ± 0.69,2.12 ± 0.22,1.78 ± 0.22,0.906 ± 0.066,0.365 ± 0.024,0.4784 ± 0.0048,1.325 ± 0.027,0.546 ± 0.033,0.95 ± 0.051,0.394 ± 0.02,0.629 ± 0.034
FitTruth,-14.97 ± 0.22,0.674 ± 0.036,0.518 ± 0.02,0.35 ± 0.026,0.13 ± 0.012,0.204 ± 0.028,0.467 ± 0.042,0.191 ± 0.01,0.347 ± 0.026,0.107 ± 0.016,0.224 ± 0.032
EM,-15.53 ± 0.12,0.7171 ± 0.0043,0.5374 ± 0.0032,0.4122 ± 0.0021,0.1228 ± 0.0018,0.1858 ± 0.0017,0.5348 ± 0.0035,0.246 ± 0.0014,0.4212 ± 0.0026,0.0946 ± 0.0017,0.1978 ± 0.0016
EM_NS,-15.45 ± 0.14,0.743 ± 0.012,0.5563 ± 0.0076,0.4308 ± 0.0093,0.1278 ± 0.0017,0.1873 ± 0.0015,0.5462 ± 0.0079,0.2476 ± 0.0038,0.4343 ± 0.0073,0.09466 ± 0.00086,0.1985 ± 0.0015
