method,log_obs,total,location,velocity,angle,ω,fw_total,fw_location,fw_velocity,fw_angle,fw_ω
Handwritten,-25.829171889168872,1.6800241,1.2917118,0.96873015,0.24633846,0.26726422,1.106204,0.47154167,0.94219303,0.15220073,0.29199052
FitHand,-19.60261880329677,1.1463573,0.9228525,0.54729754,0.21210694,0.2621266,0.742508,0.33486348,0.55587065,0.1403865,0.28053668
FitTV,-28.160449034827092,1.8855788,1.558884,0.8332955,0.34075165,0.47391614,1.2930756,0.5078889,0.8908362,0.38030374,0.6073075
FitTruth,-14.71805134500776,0.63756686,0.5042504,0.32109174,0.11600474,0.17269756,0.41981083,0.179054,0.31699944,0.089405194,0.18894145
EM,-15.410343170166016,0.7142409,0.5350264,0.41047764,0.120823525,0.18428116,0.53203034,0.2451427,0.41913456,0.092754684,0.196683
EM_NS,-15.292179393768311,0.7312346,0.5488479,0.42062196,0.12599993,0.18570878,0.5371497,0.24324481,0.42636788,0.09367338,0.19697087
