method,log_obs,total,location,velocity,angle,ω,fw_total,fw_location,fw_velocity,fw_angle,fw_ω
Handwritten,-1386.2667298942804,1.4848689,1.1675663,0.5600479,0.5744127,0.17606786,0.13938355,0.05834094,0.11316325,0.024609221,0.05014181
FitHand,33.77181551158428,0.54489356,0.5054656,0.18623638,0.03982015,0.03625744,0.13260101,0.05004262,0.09876571,0.03302534,0.06506477
FitTV,-116.13744792193174,1.4980513,1.3810564,0.5181434,0.14377221,0.13167615,0.38588592,0.13079475,0.27047667,0.089413956,0.1947146
FitTruth,37.917877143621446,0.38668722,0.36811584,0.10772629,0.03490552,0.025410827,0.077298686,0.031309504,0.059992723,0.017407786,0.03305516
EM,38.22082242071629,0.39787108,0.3750251,0.123299204,0.032973595,0.021577772,0.09831793,0.042263877,0.0838411,0.01344004,0.025888497
SVI,27.161431600153445,0.69768673,0.6371429,0.2649957,0.049660426,0.047450013,0.21994765,0.087836824,0.18236168,0.035706755,0.07345998
