method,log_obs,total,location,velocity,angle,ω,fw_total,fw_location,fw_velocity,fw_angle,fw_ω
Handwritten,-1490.0 ± 150.0,1.524 ± 0.056,1.209 ± 0.042,0.575 ± 0.023,0.601 ± 0.035,0.1803 ± 0.007,0.13959 ± 0.00035,0.05847 ± 0.00016,0.11358 ± 0.00062,0.02486 ± 0.00022,0.05046 ± 0.00028
FitHand,33.22 ± 0.52,0.5465 ± 0.0014,0.5075 ± 0.002,0.1907 ± 0.0072,0.04004 ± 0.0002,0.0373 ± 0.0011,0.1372 ± 0.0046,0.0512 ± 0.0011,0.1012 ± 0.0025,0.0347 ± 0.0018,0.0688 ± 0.0039
FitTV,-174.0 ± 68.0,1.8 ± 0.45,1.67 ± 0.44,0.61 ± 0.14,0.1481 ± 0.0045,0.1421 ± 0.0091,0.406 ± 0.032,0.143 ± 0.02,0.298 ± 0.045,0.097 ± 0.0065,0.212 ± 0.015
FitTruth,37.43 ± 0.46,0.406 ± 0.024,0.386 ± 0.022,0.1141 ± 0.0077,0.0367 ± 0.0019,0.0286 ± 0.0041,0.087 ± 0.011,0.0343 ± 0.0037,0.0655 ± 0.0066,0.021 ± 0.0045,0.0398 ± 0.0084
EM,38.183 ± 0.038,0.4032 ± 0.0048,0.3801 ± 0.0046,0.1248 ± 0.0013,0.03335 ± 0.00033,0.02205 ± 0.00043,0.0997 ± 0.0012,0.04276 ± 0.00045,0.08483 ± 0.0009,0.01398 ± 0.00047,0.02686 ± 0.00085
SVI,25.9 ± 1.4,0.718 ± 0.024,0.654 ± 0.02,0.277 ± 0.013,0.0509 ± 0.0011,0.0491 ± 0.0015,0.233 ± 0.014,0.0939 ± 0.006,0.195 ± 0.013,0.0377 ± 0.0021,0.0778 ± 0.0045
