method,log_obs,RMSE
Handwritten,-1330.0 ± 37.0,1.531 ± 0.038
Super_Hand,37.25 ± 0.27,0.507 ± 0.0039
Super_TV,-136.0 ± 14.0,1.558 ± 0.037
Super_noiseless,41.931 ± 0.073,0.30375 ± 0.00071
EM,42.009 ± 0.041,0.3435 ± 0.0019
