name,log_obs,RMSE,open_loop
Handwritten,8.32 ± 0.31,1.0712 ± 0.0075,4.0118 ± 0.0066
Super_Hand,21.059 ± 0.042,0.7949 ± 0.0039,2.402 ± 0.01
Super_TV,17.204 ± 0.07,0.7703 ± 0.0041,3.115 ± 0.011
Super_noiseless,31.17 ± 0.069,0.45153 ± 0.00089,0.8847 ± 0.0024
EM,31.3955 ± 0.0096,0.42363 ± 0.00067,1.0024 ± 0.0051
VI,18.53 ± 0.18,0.4464 ± 0.0048,0.73803 ± 0.00086
