name,log_obs,RMSE,open_loop
Handwritten,-31.01 ± 0.7,0.8824 ± 0.0074,4.0112 ± 0.0062
Super_Hand,-2.107 ± 0.023,0.45389 ± 0.00027,1.9555 ± 0.0059
Super_TV,-2.835 ± 0.016,0.47871 ± 0.00065,1.4807 ± 0.005
Super_noiseless,-0.768 ± 0.063,0.3364 ± 0.0013,0.9372 ± 0.0028
EM,2.695 ± 0.032,0.31484 ± 0.00055,0.7404 ± 0.0016
VI,-5.83 ± 0.31,0.3402 ± 0.0019,0.7094 ± 0.0016
