name,log_obs,RMSE,open_loop
Handwritten,-1100.0 ± 220.0,1.446 ± 0.08,1.455 ± 0.085
Super_Hand,35.491 ± 0.016,0.5829 ± 0.0034,1.6211 ± 0.0022
Super_TV,-70.8 ± 4.0,1.532 ± 0.032,7.2306 ± 0.008
Super_noiseless,39.473 ± 0.014,0.3834 ± 0.0024,0.7062 ± 0.0015
EM,36.4 ± 0.11,0.4015 ± 0.0084,0.7511 ± 0.0018
VI,31.267 ± 0.087,0.7138 ± 0.0071,2.4782 ± 0.0054
