method,log_obs,RMSE
Handwritten,-94.1 ± 2.7,1.4 ± 0.017
FitHand,28.58 ± 0.19,0.851 ± 0.0089
FitTV,16.89 ± 0.21,1.0137 ± 0.0068
FitTruth,27.4 ± 1.3,0.801 ± 0.022
EM,35.51 ± 0.47,0.5459 ± 0.0029
SVI,-221.0 ± 97.0,2.57 ± 0.74
