name,log_obs,RMSE,open_loop
Handwritten,306.27 ± 0.22,0.736 ± 0.0033,4.0117 ± 0.0092
Super_Hand,339.492 ± 0.092,0.35929 ± 0.00057,2.1393 ± 0.0053
Super_TV,325.715 ± 0.07,0.34838 ± 0.00071,2.657 ± 0.011
Super_noiseless,352.73 ± 0.29,0.2191 ± 0.00032,0.8993 ± 0.0025
EM,354.508 ± 0.032,0.27527 ± 0.00029,0.9676 ± 0.0035
VI,267.1 ± 1.5,0.4186 ± 0.003,12.812 ± 0.054
