name,log_obs,RMSE,open_loop
Handwritten,-6780.0 ± 840.0,1.749 ± 0.048,1.72 ± 0.15
Super_Hand,293.666 ± 0.036,0.5398 ± 0.005,1.6772 ± 0.0023
Super_TV,126.0 ± 14.0,1.079 ± 0.031,6.6079 ± 0.004
Super_noiseless,299.189 ± 0.013,0.23726 ± 0.00098,0.7806 ± 0.0023
EM,292.21 ± 0.15,0.2937 ± 0.0044,0.79 ± 0.0013
