name,log_obs,RMSE,open_loop
Handwritten,-429.0 ± 55.0,1.632 ± 0.078,1.626 ± 0.072
Super_Hand,23.89 ± 0.12,0.1988 ± 0.0038,1.7132 ± 0.004
Super_TV,14.55 ± 0.34,0.281 ± 0.0034,4.1453 ± 0.0072
Super_noiseless,37.1393 ± 0.0045,0.13949 ± 0.00024,0.6233 ± 0.0016
EM,36.7869 ± 0.0073,0.14086 ± 0.00021,0.6755 ± 0.0015
VI,32.186 ± 0.056,0.19473 ± 0.0007,0.869 ± 0.0021
