name,log_obs,RMSE,open_loop
Handwritten,-320.0 ± 40.0,1.42 ± 0.07,1.4 ± 0.11
Super_Hand,27.162 ± 0.079,0.1998 ± 0.0024,1.6401 ± 0.0032
Super_TV,-1.7 ± 1.8,0.332 ± 0.012,3.1556 ± 0.0038
Super_noiseless,35.9498 ± 0.0099,0.15305 ± 0.00031,0.8602 ± 0.0022
EM,35.458 ± 0.011,0.15894 ± 0.00039,0.7918 ± 0.0031
VI,27.15 ± 0.99,0.209 ± 0.0057,2.4632 ± 0.0066
