name,log_obs,RMSE,open_loop
Handwritten,339.53 ± 0.14,0.822 ± 0.003,4.0135 ± 0.0095
Super_Hand,294.9 ± 7.8,0.617 ± 0.034,12.789 ± 0.025
Super_TV,344.823 ± 0.097,0.4528 ± 0.0023,3.1673 ± 0.0087
Super_noiseless,378.54 ± 0.13,0.2718 ± 0.0021,0.9132 ± 0.003
EM,385.296 ± 0.041,0.347 ± 0.00033,1.0715 ± 0.0033
VI,311.0 ± 1.6,0.515 ± 0.03,6.854 ± 0.032
