name,log_obs,RMSE,open_loop
Handwritten,-7800.0 ± 1200.0,1.833 ± 0.079,1.807 ± 0.045
Super_Hand,291.556 ± 0.084,0.4599 ± 0.0032,1.7315 ± 0.0048
Super_TV,7.7 ± 14.0,1.16 ± 0.04,8.0244 ± 0.0075
Super_noiseless,301.398 ± 0.022,0.19651 ± 0.00048,0.6506 ± 0.0011
EM,299.18 ± 0.044,0.2601 ± 0.0015,0.7195 ± 0.0015
