method,log_obs,RMSE
Handwritten,-29.79 ± 0.63,0.8786 ± 0.0045
Super_Hand,1.3 ± 1.3,0.4487 ± 0.0062
Super_TV,0.52 ± 1.8,0.4732 ± 0.0067
Super_noiseless,2.3 ± 1.9,0.3268 ± 0.0079
EM,5.2 ± 1.1,0.3178 ± 0.0083
