method,log_obs,total,location,velocity,angle,ω,fw_total,fw_location,fw_velocity,fw_angle,fw_ω
Handwritten,36.73013610328947,0.84603006,0.23500173,0.7692491,0.05825879,0.24440272,1.106204,0.47154167,0.94219303,0.15220073,0.29199052
FitHand,67.10654329572405,0.5188397,0.1546633,0.4447655,0.044832084,0.20703927,0.62924814,0.23804426,0.520817,0.09816026,0.23064004
FitTV,47.764637861933025,0.547217,0.18756182,0.38934588,0.08246284,0.290547,0.88784105,0.37263256,0.651048,0.22059229,0.37953994
FitTruth,71.23365621566772,0.29597682,0.111756384,0.223195,0.036447216,0.14615153,0.4110506,0.17583399,0.31272566,0.08420242,0.17934322
EM,72.89187471866607,0.34231308,0.12939055,0.27588302,0.03667458,0.1476558,0.4304584,0.18774305,0.33956146,0.07631461,0.16911717
EM_NS,-34.05770037259374,0.8568443,0.36779094,0.6042769,0.14753413,0.43457317,1.6809572,0.67034644,1.2055244,0.44366625,0.78407735
