method,log_obs,total,location,velocity,angle,ω,fw_total,fw_location,fw_velocity,fw_angle,fw_ω
Handwritten,36.37 ± 0.57,0.8483 ± 0.0024,0.2392 ± 0.005,0.771 ± 0.0016,0.05868 ± 0.00043,0.2454 ± 0.0012,1.1077 ± 0.002,0.4745 ± 0.0032,0.9444 ± 0.0038,0.1538 ± 0.0014,0.2937 ± 0.0026
FitHand,66.2 ± 1.1,0.529 ± 0.011,0.1559 ± 0.0011,0.457 ± 0.013,0.04545 ± 0.00064,0.2095 ± 0.0022,0.6342 ± 0.0071,0.2402 ± 0.0023,0.529 ± 0.01,0.0998 ± 0.0014,0.2332 ± 0.0026
FitTV,47.47 ± 0.34,0.5491 ± 0.0027,0.1928 ± 0.0066,0.397 ± 0.011,0.0881 ± 0.0049,0.311 ± 0.018,0.8922 ± 0.0043,0.3792 ± 0.0099,0.6561 ± 0.0082,0.239 ± 0.016,0.405 ± 0.022
FitTruth,70.4 ± 1.2,0.316 ± 0.033,0.1152 ± 0.0051,0.238 ± 0.022,0.041 ± 0.0059,0.166 ± 0.027,0.441 ± 0.047,0.183 ± 0.011,0.329 ± 0.028,0.098 ± 0.019,0.206 ± 0.036
EM,72.57 ± 0.29,0.3454 ± 0.0033,0.1307 ± 0.0014,0.2783 ± 0.0021,0.03703 ± 0.0006,0.1516 ± 0.0048,0.4339 ± 0.0033,0.18806 ± 0.00041,0.342 ± 0.0021,0.0774 ± 0.0017,0.1729 ± 0.005
EM_NS,-54.0 ± 18.0,0.925 ± 0.064,0.443 ± 0.075,0.63 ± 0.026,0.1525 ± 0.0065,0.445 ± 0.015,1.705 ± 0.024,0.6779 ± 0.0099,1.221 ± 0.018,0.474 ± 0.028,0.853 ± 0.062
SVI-full,-2500.0 ± 1800.0,1.52 ± 0.7,1.09 ± 0.57,0.82 ± 0.33,0.211 ± 0.098,0.41 ± 0.18,1.21 ± 0.39,0.5 ± 0.13,0.94 ± 0.28,0.27 ± 0.15,0.48 ± 0.22
SVI,-2500.0 ± 1800.0,1.52 ± 0.7,1.09 ± 0.57,0.82 ± 0.33,0.211 ± 0.098,0.41 ± 0.18,1.21 ± 0.0,0.5 ± 0.13,0.94 ± 0.28,0.27 ± 0.15,0.48 ± 0.22
