name,log_obs,RMSE,open_loop
Handwritten,-22.39 ± 0.32,1.797 ± 0.022,4.0112 ± 0.007
Super_Hand,-13.8889 ± 0.0062,1.3015 ± 0.0042,3.248 ± 0.011
Super_TV,-20.88 ± 0.37,1.468 ± 0.017,4.3191 ± 0.0092
Super_noiseless,-8.9898 ± 0.0058,0.6431 ± 0.0015,0.8688 ± 0.0028
EM,-9.2889 ± 0.0069,0.709 ± 0.0025,1.0211 ± 0.0028
VI,-13.34 ± 0.041,1.412 ± 0.021,5.772 ± 0.031
