name,log_obs,RMSE,open_loop
Handwritten,36.3 ± 2.3,0.8517 ± 0.0082,4.013 ± 0.012
Super_Hand,71.762 ± 0.085,0.3945 ± 0.0012,1.3316 ± 0.0051
Super_TV,55.84 ± 0.2,0.4775 ± 0.0045,2.973 ± 0.018
Super_noiseless,71.46 ± 0.71,0.2587 ± 0.0036,0.9548 ± 0.0036
EM,79.793 ± 0.025,0.30842 ± 0.0005,0.8197 ± 0.0025
VI,-3000.0 ± 1300.0,0.929 ± 0.089,3.2154 ± 0.0099
