name,log_obs,RMSE,open_loop
Handwritten,-6.42 ± 0.4,1.2267 ± 0.0062,4.0187 ± 0.0056
Super_Hand,8.669 ± 0.013,0.9535 ± 0.002,2.505 ± 0.011
Super_TV,2.55 ± 0.16,0.9597 ± 0.0082,3.592 ± 0.014
Super_noiseless,15.909 ± 0.064,0.5633 ± 0.0013,0.9203 ± 0.0026
EM,16.4301 ± 0.0069,0.5434 ± 0.00064,0.9951 ± 0.0045
VI,-1.5 ± 0.44,0.721 ± 0.0061,1.5055 ± 0.0084
