name,log_obs,RMSE,open_loop
Handwritten,343.28 ± 0.3,0.8261 ± 0.003,4.0054 ± 0.006
Super_Hand,266.0 ± 10.0,0.695 ± 0.032,12.827 ± 0.06
Super_TV,354.54 ± 0.13,0.4839 ± 0.0019,3.451 ± 0.011
Super_noiseless,382.31 ± 0.2,0.2568 ± 0.0012,0.8864 ± 0.0031
EM,384.994 ± 0.018,0.32085 ± 0.00036,0.84657 ± 0.00097
VI,289.0 ± 13.0,0.636 ± 0.041,12.955 ± 0.026
