name,log_obs,RMSE,open_loop
Handwritten,-7060.0 ± 720.0,1.738 ± 0.086,1.68 ± 0.1
Super_Hand,287.46 ± 0.14,0.5547 ± 0.0071,1.7672 ± 0.004
Super_TV,150.0 ± 10.0,0.989 ± 0.037,6.7522 ± 0.0039
Super_noiseless,295.76 ± 0.087,0.2421 ± 0.0016,0.7386 ± 0.0016
EM,293.94 ± 0.12,0.271 ± 0.004,0.8105 ± 0.0011
VI,53.0 ± 22.0,1.112 ± 0.045,8.0607 ± 0.0046
