name,log_obs,RMSE,open_loop
Handwritten,-14800.0 ± 2200.0,1.73 ± 0.14,1.79 ± 0.13
Super_Hand,338.7 ± 2.6,0.0926 ± 0.0021,1.7123 ± 0.0034
Super_TV,348.25 ± 0.2,0.08962 ± 0.00085,3.1118 ± 0.0026
Super_noiseless,368.737 ± 0.06,0.05893 ± 0.00014,0.7526 ± 0.0023
EM,367.735 ± 0.073,0.05902 ± 0.00066,0.6553 ± 0.0011
VI,-18570.0 ± 120.0,1.2667 ± 0.0054,2.12458 ± 0.00083
