method,log_obs,total,location,velocity,angle,ω,fw_total,fw_location,fw_velocity,fw_angle,fw_ω
Handwritten,26.04966641664505,0.9102529,0.34987122,0.7941092,0.07360411,0.24731568,1.1019665,0.47154167,0.9383914,0.15136732,0.29199052
FitHand,48.71909376893725,0.7995728,0.26903084,0.71362174,0.057816066,0.2147414,0.8909189,0.3361557,0.7824418,0.09883486,0.23618369
FitTV,34.32068750517709,0.6380094,0.29594064,0.45435467,0.090471625,0.29558697,0.91024697,0.39666775,0.6727117,0.21923207,0.36876267
FitTruth,53.56719118867602,0.335662,0.16025913,0.23986955,0.046880364,0.15661488,0.41594002,0.17629023,0.3134201,0.08932697,0.18898775
EM,54.97075684411185,0.3763458,0.17800413,0.29086652,0.04487248,0.14639047,0.43037257,0.1867775,0.33957285,0.07463964,0.16504495
EM_NS,51.75828653403691,0.44919878,0.20833561,0.34902138,0.05162065,0.17765655,0.5332588,0.23605017,0.42133212,0.09184384,0.20019464
SVI,35.49250376905714,0.4598508,0.2529897,0.3204301,0.062140264,0.18636155,0.5993581,0.2759563,0.46685952,0.12141513,0.22445206
