method,log_obs,total,location,velocity,angle,ω,fw_total,fw_location,fw_velocity,fw_angle,fw_ω
Handwritten,25.87 ± 0.19,0.914 ± 0.0053,0.3543 ± 0.006,0.7965 ± 0.0026,0.07392 ± 0.00035,0.24781 ± 0.00044,1.1063 ± 0.004,0.474 ± 0.0034,0.9432 ± 0.0053,0.1536 ± 0.0019,0.2934 ± 0.0021
FitHand,48.33 ± 0.34,0.804 ± 0.0044,0.2704 ± 0.0018,0.7196 ± 0.0053,0.05817 ± 0.0006,0.22 ± 0.005,0.8982 ± 0.0068,0.33659 ± 0.00039,0.7907 ± 0.0072,0.1003 ± 0.0023,0.2413 ± 0.0049
FitTV,33.97 ± 0.42,0.648 ± 0.014,0.3003 ± 0.0064,0.474 ± 0.022,0.0925 ± 0.0025,0.306 ± 0.011,0.93 ± 0.025,0.417 ± 0.023,0.7 ± 0.03,0.2277 ± 0.0095,0.384 ± 0.017
FitTruth,53.35 ± 0.32,0.3391 ± 0.0041,0.1641 ± 0.0039,0.2438 ± 0.0034,0.04728 ± 0.00048,0.1583 ± 0.0018,0.4189 ± 0.0036,0.1774 ± 0.0013,0.3154 ± 0.0021,0.0906 ± 0.0019,0.1906 ± 0.0025
EM,54.71 ± 0.23,0.3798 ± 0.0033,0.182 ± 0.0036,0.293 ± 0.0023,0.04572 ± 0.00074,0.1489 ± 0.0023,0.4324 ± 0.0025,0.18787 ± 0.00096,0.3427 ± 0.0028,0.0769 ± 0.002,0.1684 ± 0.0029
EM_NS,51.72 ± 0.043,0.4526 ± 0.0042,0.2116 ± 0.003,0.3511 ± 0.0021,0.05244 ± 0.00086,0.1813 ± 0.004,0.5345 ± 0.0011,0.2379 ± 0.0021,0.4222 ± 0.0014,0.0941 ± 0.0021,0.2047 ± 0.0043
SVI-m,-1400.0 ± 1300.0,3.3 ± 2.5,2.9 ± 2.3,1.35 ± 0.9,0.38 ± 0.27,0.49 ± 0.26,1.55 ± 0.82,0.62 ± 0.3,1.17 ± 0.61,0.41 ± 0.25,0.68 ± 0.39
SVI,-1400.0 ± 1300.0,3.3 ± 2.5,2.9 ± 2.3,1.35 ± 0.9,0.38 ± 0.27,0.49 ± 0.26,1.55 ± 0,0.62 ± 0.3,1.17 ± 0.61,0.41 ± 0.25,0.68 ± 0.39
