name,log_obs,RMSE,open_loop
Handwritten,339.53 ± 0.14,0.822 ± 0.003,4.0135 ± 0.0095
Super_Hand,299.1 ± 2.6,0.592 ± 0.03,12.785 ± 0.024
Super_TV,344.162 ± 0.099,0.4588 ± 0.0023,3.134 ± 0.012
Super_noiseless,376.78 ± 0.2,0.2625 ± 0.0032,0.904 ± 0.0031
EM,380.5 ± 0.021,0.31655 ± 0.00058,0.8513 ± 0.0036
VI,311.3 ± 3.5,0.3556 ± 0.008,0.9018 ± 0.0016
