name,log_obs,RMSE,open_loop
Handwritten,-13420.0 ± 660.0,1.652 ± 0.056,1.66 ± 0.12
Super_Hand,329.2 ± 2.6,0.1008 ± 0.0023,1.775 ± 0.0017
Super_TV,347.54 ± 0.75,0.0906 ± 0.0011,3.0169 ± 0.0045
Super_noiseless,368.705 ± 0.044,0.06299 ± 0.00042,0.73157 ± 0.00063
EM,369.57 ± 0.032,0.0601 ± 0.00018,0.8453 ± 0.0032
VI,-1360.0 ± 130.0,0.429 ± 0.014,3.1746 ± 0.0092
