name,log_obs,RMSE,open_loop
Handwritten,345.77 ± 0.23,0.8175 ± 0.0029,4.0166 ± 0.0053
Super_Hand,282.9 ± 6.0,0.63 ± 0.037,12.8 ± 0.035
Super_TV,346.99 ± 0.15,0.4608 ± 0.0028,3.033 ± 0.013
Super_noiseless,384.505 ± 0.094,0.26952 ± 0.0008,0.8821 ± 0.0014
EM,391.624 ± 0.018,0.33168 ± 0.00042,0.9797 ± 0.0054
VI,-1333.0 ± 80.0,1.93 ± 0.16,10.418 ± 0.051
