Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,twist.linear.x,twist.linear.y,twist.linear.z,twist.angular.x,twist.angular.y,twist.angular.z
1645055445.1616006,19655,1645055445,160483226,,1.0,0.0,0.0,0.0,0.0,-0.620682954788208
1645055445.211505,19656,1645055445,210538366,,1.0,0.0,0.0,0.0,0.0,-0.579406201839447
1645055445.263267,19657,1645055445,261385725,,1.0,0.0,0.0,0.0,0.0,-0.4974353313446045
1645055445.3126292,19658,1645055445,310249834,,1.0,0.0,0.0,0.0,0.0,-0.4974353313446045
1645055445.3623283,19659,1645055445,360350766,,1.0,0.0,0.0,0.0,0.0,-0.4485810399055481
1645055445.412968,19660,1645055445,410738640,,1.0,0.0,0.0,0.0,0.0,-0.39185574650764465
1645055445.464667,19661,1645055445,461105746,,1.0,0.0,0.0,0.0,0.0,-0.3112734258174896
1645055445.5129042,19662,1645055445,511462389,,1.0,0.0,0.0,0.0,0.0,-0.3032352030277252
1645055445.5629396,19663,1645055445,560225922,,1.0,0.0,0.0,0.0,0.0,-0.2952249050140381
1645055445.615571,19664,1645055445,611141152,,1.0,0.0,0.0,0.0,0.0,-0.2952249050140381
1645055445.662897,19665,1645055445,660364459,,1.0,0.0,0.0,0.0,0.0,-0.2952249050140381
1645055445.7120624,19666,1645055445,710441839,,1.0,0.0,0.0,0.0,0.0,-0.35150548815727234
1645055445.7636373,19667,1645055445,761106863,,1.0,0.0,0.0,0.0,0.0,-0.4080416262149811
1645055445.8140604,19668,1645055445,811687696,,1.0,0.0,0.0,0.0,0.0,-0.4080416262149811
1645055445.8633971,19669,1645055445,860831547,,1.0,0.0,0.0,0.0,0.0,-0.4080416262149811
1645055445.9115005,19670,1645055445,910271523,,1.0,0.0,0.0,0.0,0.0,-0.4080416262149811
1645055445.9611702,19671,1645055445,960317064,,1.0,0.0,0.0,0.0,0.0,-0.4080416262149811
1645055446.0123281,19672,1645055446,10466444,,1.0,0.0,0.0,0.0,0.0,-0.4080416262149811
1645055446.0630903,19673,1645055446,60314258,,1.0,0.0,0.0,0.0,0.0,-0.4080416262149811
1645055446.1113214,19674,1645055446,110474263,,1.0,0.0,0.0,0.0,0.0,-0.4080416262149811
1645055446.163968,19675,1645055446,160399741,,1.0,0.0,0.0,0.0,0.0,-0.4080416262149811
1645055446.2142298,19676,1645055446,211398972,,1.0,0.0,0.0,0.0,0.0,-0.4080416262149811
1645055446.263351,19677,1645055446,261185507,,1.0,0.0,0.0,0.0,0.0,-0.4080416262149811
1645055446.3117638,19678,1645055446,310371022,,1.0,0.0,0.0,0.0,0.0,-0.45671162009239197
1645055446.362233,19679,1645055446,360348340,,1.0,0.0,0.0,0.0,0.0,-0.45671162009239197
1645055446.413216,19680,1645055446,410495481,,1.0,0.0,0.0,0.0,0.0,-0.45671162009239197
1645055446.4623463,19681,1645055446,460346944,,1.0,0.0,0.0,0.0,0.0,-0.45671162009239197
1645055446.5123491,19682,1645055446,510323077,,1.0,0.0,0.0,0.0,0.0,-0.45671162009239197
1645055446.5613232,19683,1645055446,560337387,,1.0,0.0,0.0,0.0,0.0,-0.45671162009239197
1645055446.6108243,19684,1645055446,610117202,,1.0,0.0,0.0,0.0,0.0,-0.45671162009239197
1645055446.6634262,19685,1645055446,661127889,,1.0,0.0,0.0,0.0,0.0,-0.45671162009239197
1645055446.7145104,19686,1645055446,711784978,,1.0,0.0,0.0,0.0,0.0,-0.45671162009239197
1645055446.7613282,19687,1645055446,760323298,,1.0,0.0,0.0,0.0,0.0,-0.45671162009239197
1645055446.813715,19688,1645055446,810759044,,1.0,0.0,0.0,0.0,0.0,-0.45671162009239197
1645055446.8635948,19689,1645055446,862288224,,1.0,0.0,0.0,0.0,0.0,-0.4242495894432068
1645055446.911824,19690,1645055446,910486898,,1.0,0.0,0.0,0.0,0.0,-0.41614288091659546
1645055446.9638066,19691,1645055446,961169779,,1.0,0.0,0.0,0.0,0.0,-0.41614288091659546
1645055447.0117123,19692,1645055447,10477821,,1.0,0.0,0.0,0.0,0.0,-0.41614288091659546
1645055447.0639417,19693,1645055447,62038745,,1.0,0.0,0.0,0.0,0.0,-0.41614288091659546
1645055447.1138077,19694,1645055447,111436964,,1.0,0.0,0.0,0.0,0.0,-0.41614288091659546
1645055447.1612039,19695,1645055447,160450673,,1.0,0.0,0.0,0.0,0.0,-0.43233829736709595
1645055447.2164402,19696,1645055447,211214706,,1.0,0.0,0.0,0.0,0.0,-0.43233829736709595
1645055447.2640626,19697,1645055447,261635286,,1.0,0.0,0.0,0.0,0.0,-0.43233829736709595
1645055447.3121612,19698,1645055447,310330598,,1.0,0.0,0.0,0.0,0.0,-0.43233829736709595
1645055447.3643289,19699,1645055447,360661194,,1.0,0.0,0.0,0.0,0.0,-0.43233829736709595
1645055447.4135764,19700,1645055447,411301356,,1.0,0.0,0.0,0.0,0.0,-0.43233829736709595
1645055447.462165,19701,1645055447,460312793,,1.0,0.0,0.0,0.0,0.0,-0.43233829736709595
1645055447.51289,19702,1645055447,510717757,,1.0,0.0,0.0,0.0,0.0,-0.43233829736709595
1645055447.5627568,19703,1645055447,560503557,,1.0,0.0,0.0,0.0,0.0,-0.43233829736709595
1645055447.6110604,19704,1645055447,610129262,,1.0,0.0,0.0,0.0,0.0,-0.43233829736709595
1645055447.6609986,19705,1645055447,660291156,,1.0,0.0,0.0,0.0,0.0,-0.43233829736709595
1645055447.713404,19706,1645055447,710531545,,1.0,0.0,0.0,0.0,0.0,-0.4485810399055481
1645055447.7618327,19707,1645055447,760524703,,1.0,0.0,0.0,0.0,0.0,-0.4485810399055481
1645055447.8130717,19708,1645055447,810216904,,1.0,0.0,0.0,0.0,0.0,-0.4485810399055481
1645055447.8614283,19709,1645055447,860277358,,1.0,0.0,0.0,0.0,0.0,-0.2391144186258316
1645055447.9142385,19710,1645055447,911259886,,1.0,0.0,0.0,0.0,0.0,-0.2391144186258316
1645055447.9612381,19711,1645055447,960393467,,1.0,0.0,0.0,0.0,0.0,-0.2391144186258316
1645055448.0119765,19712,1645055448,10400449,,1.0,0.0,0.0,0.0,0.0,-0.5465338230133057
1645055448.0619812,19713,1645055448,60388681,,1.0,0.0,0.0,0.0,0.0,-0.5629667043685913
1645055448.1137104,19714,1645055448,110995660,,1.0,0.0,0.0,0.0,0.0,-0.5629667043685913
1645055448.1650896,19715,1645055448,162010924,,1.0,0.0,0.0,0.0,0.0,-0.5629667043685913
1645055448.214107,19716,1645055448,210935419,,1.0,0.0,0.0,0.0,0.0,-0.5629667043685913
1645055448.261091,19717,1645055448,260196680,,1.0,0.0,0.0,0.0,0.0,-0.5629667043685913
1645055448.314415,19718,1645055448,311761796,,1.0,0.0,0.0,0.0,0.0,-0.5629667043685913
1645055448.3618028,19719,1645055448,359987928,,1.0,0.0,0.0,0.0,0.0,-0.5629667043685913
1645055448.4139056,19720,1645055448,411457749,,1.0,0.0,0.0,0.0,0.0,-0.5629667043685913
1645055448.463794,19721,1645055448,461352862,,1.0,0.0,0.0,0.0,0.0,-0.5629667043685913
1645055448.510878,19722,1645055448,510146605,,1.0,0.0,0.0,0.0,0.0,-0.5629667043685913
1645055448.5620692,19723,1645055448,560263540,,1.0,0.0,0.0,0.0,0.0,-0.5629667043685913
1645055448.6130633,19724,1645055448,611233909,,1.0,0.0,0.0,0.0,0.0,-0.5629667043685913
1645055448.6608782,19725,1645055448,659995653,,1.0,0.0,0.0,0.0,0.0,-0.5629667043685913
1645055448.7129352,19726,1645055448,710447241,,1.0,0.0,0.0,0.0,0.0,-0.5629667043685913
1645055448.761603,19727,1645055448,760220114,,1.0,0.0,0.0,0.0,0.0,-0.5629667043685913
1645055448.8103456,19728,1645055448,809891484,,1.0,0.0,0.0,0.0,0.0,-0.5629667043685913
1645055448.8617125,19729,1645055448,860271360,,1.0,0.0,0.0,0.0,0.0,-0.5629667043685913
1645055448.9118214,19730,1645055448,910312296,,1.2999999523162842,0.0,0.0,0.0,0.0,-0.7318567037582397
1645055448.9632735,19731,1645055448,961368904,,1.5999999046325684,0.0,0.0,0.0,0.0,-0.9007466435432434
1645055449.011738,19732,1645055449,10685300,,1.8999998569488525,0.0,0.0,0.0,0.0,-1.0696367025375366
1645055449.0630734,19733,1645055449,60577181,,1.5999999046325684,0.0,0.0,0.0,0.0,-0.9007466435432434
1645055449.1130207,19734,1645055449,111899292,,1.2999999523162842,0.0,0.0,0.0,0.0,-0.7318567037582397
1645055449.1639118,19735,1645055449,162026884,,1.0,0.0,0.0,0.0,0.0,-0.5629667043685913
1645055449.2126179,19736,1645055449,210728565,,1.0,0.0,0.0,0.0,0.0,-0.5629667043685913
1645055449.264023,19737,1645055449,260350752,,1.0,0.0,0.0,0.0,0.0,-0.5629667043685913
1645055449.3127272,19738,1645055449,310530119,,1.0,0.0,0.0,0.0,0.0,-0.5629667043685913
1645055449.3619785,19739,1645055449,360339985,,1.0,0.0,0.0,0.0,0.0,-0.5629667043685913
1645055449.415523,19740,1645055449,411571184,,1.0,0.0,0.0,0.0,0.0,-0.5629667043685913
1645055449.4636087,19741,1645055449,460539872,,1.0,0.0,0.0,0.0,0.0,-0.5629667043685913
1645055449.5119898,19742,1645055449,510582664,,1.0,0.0,0.0,0.0,0.0,-0.5629667043685913
1645055449.5641186,19743,1645055449,560597552,,1.0,0.0,0.0,0.0,0.0,-0.5629667043685913
1645055449.6149654,19744,1645055449,613619268,,1.0,0.0,0.0,0.0,0.0,-0.5629667043685913
1645055449.6612263,19745,1645055449,660234275,,1.0,0.0,0.0,0.0,0.0,-0.5629667043685913
1645055449.7116215,19746,1645055449,710669544,,1.0,0.0,0.0,0.0,0.0,-0.5629667043685913
1645055449.763368,19747,1645055449,760794864,,1.0,0.0,0.0,0.0,0.0,-0.5629667043685913
1645055449.8117332,19748,1645055449,810349147,,1.0,0.0,0.0,0.0,0.0,-0.5629667043685913
1645055449.861909,19749,1645055449,860562178,,1.0,0.0,0.0,0.0,0.0,-0.5629667043685913
1645055449.913983,19750,1645055449,912228863,,1.0,0.0,0.0,0.0,0.0,-0.25513526797294617
1645055449.9630897,19751,1645055449,960295637,,1.0,0.0,0.0,0.0,0.0,0.17519837617874146
1645055450.0129416,19752,1645055450,10719322,,1.0,0.0,0.0,0.0,0.0,0.3838185966014862
1645055450.0610774,19753,1645055450,60219047,,1.0,0.0,0.0,0.0,0.0,0.6872178912162781
1645055450.1138203,19754,1645055450,110958443,,1.0,0.0,0.0,0.0,0.0,0.6872178912162781
1645055450.1628082,19755,1645055450,161407313,,1.0,0.0,0.0,0.0,0.0,0.7880923748016357
1645055450.2154236,19756,1645055450,211890455,,1.0,0.0,0.0,0.0,0.0,0.7880923748016357
1645055450.2634416,19757,1645055450,260284203,,1.0,0.0,0.0,0.0,0.0,0.7880923748016357
1645055450.314476,19758,1645055450,311432428,,1.0,0.0,0.0,0.0,0.0,0.7880923748016357
1645055450.361255,19759,1645055450,360307133,,1.2999999523162842,0.0,0.0,0.0,0.0,1.0245200395584106
1645055450.4116652,19760,1645055450,410320518,,1.5999999046325684,0.0,0.0,0.0,0.0,1.2609477043151855
1645055450.4618132,19761,1645055450,460430351,,1.8999998569488525,0.0,0.0,0.0,0.0,0.7292552590370178
1645055450.5155966,19762,1645055450,511254834,,2.1999998092651367,0.0,0.0,0.0,0.0,0.5789311528205872
1645055450.56252,19763,1645055450,560697247,,2.499999761581421,0.0,0.0,0.0,0.0,-0.9998644590377808
1645055450.6134045,19764,1645055450,611483779,,2.799999713897705,0.0,0.0,0.0,0.0,-1.1198482513427734
1645055450.6612132,19765,1645055450,660405396,,3.0,0.0,0.0,0.0,0.0,-1.862048864364624
1645055450.7117321,19766,1645055450,710413181,,3.0,0.0,0.0,0.0,0.0,-2.313549041748047
1645055450.7645774,19767,1645055450,762044763,,3.0,0.0,0.0,0.0,0.0,-2.3642771244049072
1645055450.8124166,19768,1645055450,810950123,,3.0,0.0,0.0,0.0,0.0,-2.3642771244049072
1645055450.8622243,19769,1645055450,860724726,,3.0,0.0,0.0,0.0,0.0,-2.3642771244049072
1645055450.9124742,19770,1645055450,910689408,,2.700000047683716,0.0,0.0,0.0,0.0,-2.1278493404388428
1645055450.9614265,19771,1645055450,960305067,,2.4000000953674316,0.0,0.0,0.0,0.0,-1.8914217948913574
1645055451.0140958,19772,1645055451,11533612,,2.1000001430511475,0.0,0.0,0.0,0.0,-1.6549941301345825
1645055451.062159,19773,1645055451,60208031,,1.8000001907348633,0.0,0.0,0.0,0.0,-1.4185664653778076
1645055451.1148458,19774,1645055451,111513312,,1.500000238418579,0.0,0.0,0.0,0.0,-1.1821388006210327
1645055451.1637855,19775,1645055451,161239276,,1.200000286102295,0.0,0.0,0.0,0.0,-0.945711076259613
1645055451.2113667,19776,1645055451,210473276,,0.900000274181366,0.0,0.0,0.0,0.0,-0.7092833518981934
1645055451.2627106,19777,1645055451,261366560,,0.600000262260437,0.0,0.0,0.0,0.0,-0.4728556275367737
1645055451.3119159,19778,1645055451,310199410,,0.30000025033950806,0.0,0.0,0.0,0.0,-0.236427903175354
1645055451.361179,19779,1645055451,360350011,,0.1752678006887436,0.0,0.0,0.0,0.0,-0.13812722265720367
1645055451.4149747,19780,1645055451,411089088,,0.47526782751083374,0.0,0.0,0.0,0.0,-0.37455496191978455
1645055451.4616995,19781,1645055451,460291567,,0.7752677798271179,0.0,0.0,0.0,0.0,-0.6109825968742371
1645055451.510642,19782,1645055451,510011643,,1.0,0.0,0.0,0.0,0.0,-0.7880923748016357
1645055451.5652926,19783,1645055451,561408252,,1.0,0.0,0.0,0.0,0.0,-0.7880923748016357
1645055451.6139698,19784,1645055451,611485381,,1.0,0.0,0.0,0.0,0.0,-0.7880923748016357
1645055451.6632304,19785,1645055451,661574223,,1.0,0.0,0.0,0.0,0.0,-0.7880923748016357
1645055451.7140245,19786,1645055451,711471129,,1.0,0.0,0.0,0.0,0.0,-0.7880923748016357
1645055451.7622814,19787,1645055451,760364939,,1.0,0.0,0.0,0.0,0.0,-0.7880923748016357
1645055451.8126628,19788,1645055451,810363093,,1.0,0.0,0.0,0.0,0.0,-0.7880923748016357
1645055451.8621187,19789,1645055451,860673181,,1.0,0.0,0.0,0.0,0.0,-0.7880923748016357
1645055451.9127874,19790,1645055451,911558081,,1.0,0.0,0.0,0.0,0.0,-0.7880923748016357
1645055451.961097,19791,1645055451,960295316,,1.2999999523162842,0.0,0.0,0.0,0.0,-1.0245200395584106
1645055452.0125546,19792,1645055452,10422429,,1.5999999046325684,0.0,0.0,0.0,0.0,-1.2609477043151855
1645055452.0638826,19793,1645055452,61304418,,1.8999998569488525,0.0,0.0,0.0,0.0,-1.4973753690719604
1645055452.1116128,19794,1645055452,110365203,,2.1999998092651367,0.0,0.0,0.0,0.0,-1.7338030338287354
1645055452.161722,19795,1645055452,160672636,,2.499999761581421,0.0,0.0,0.0,0.0,-1.9702306985855103
1645055452.2145486,19796,1645055452,211139396,,2.799999713897705,0.0,0.0,0.0,0.0,-2.206658363342285
1645055452.2604043,19797,1645055452,259811160,,3.0,0.0,0.0,0.0,0.0,-2.3642771244049072
1645055452.3140113,19798,1645055452,310930907,,3.0,0.0,0.0,0.0,0.0,-2.3389341831207275
1645055452.3635986,19799,1645055452,360913478,,3.0,0.0,0.0,0.0,0.0,-2.1116864681243896
1645055452.4141345,19800,1645055452,411216335,,3.0,0.0,0.0,0.0,0.0,-0.8615840673446655
1645055452.4646277,19801,1645055452,461122682,,3.0,0.0,0.0,0.0,0.0,-0.6933265924453735
1645055452.5149322,19802,1645055452,511484867,,3.0,0.0,0.0,0.0,0.0,-0.6933265924453735
1645055452.5617497,19803,1645055452,560280982,,3.0,0.0,0.0,0.0,0.0,-0.6933265924453735
1645055452.6122224,19804,1645055452,610438624,,3.0,0.0,0.0,0.0,0.0,-1.2241249084472656
1645055452.6650767,19805,1645055452,661812641,,3.0,0.0,0.0,0.0,0.0,-1.467818021774292
1645055452.7148564,19806,1645055452,711423695,,3.0,0.0,0.0,0.0,0.0,-1.9615591764450073
1645055452.7649922,19807,1645055452,761406874,,3.0,0.0,0.0,0.0,0.0,-2.3389341831207275
1645055452.811749,19808,1645055452,810382508,,3.0,0.0,0.0,0.0,0.0,-2.3642771244049072
1645055452.8649952,19809,1645055452,861242385,,3.0,0.0,0.0,0.0,0.0,-2.3642771244049072
1645055452.9130964,19810,1645055452,911260219,,3.0,0.0,0.0,0.0,0.0,-2.3642771244049072
1645055452.9636953,19811,1645055452,961738947,,3.0,0.0,0.0,0.0,0.0,-2.3642771244049072
1645055453.0124447,19812,1645055453,10366391,,3.0,0.0,0.0,0.0,0.0,-2.187180995941162
1645055453.061128,19813,1645055453,60204644,,3.0,0.0,0.0,0.0,0.0,-1.5413432121276855
1645055453.1157465,19814,1645055453,111226281,,3.0,0.0,0.0,0.0,0.0,-1.5413432121276855
1645055453.1624184,19815,1645055453,161704690,,3.0,0.0,0.0,0.0,0.0,-1.345743179321289
1645055453.2125018,19816,1645055453,210501862,,3.0,0.0,0.0,0.0,0.0,0.0
1645055453.2641106,19817,1645055453,260721104,,3.0,0.0,0.0,0.0,0.0,0.0
1645055453.3117428,19818,1645055453,310257823,,3.0,0.0,0.0,0.0,0.0,0.0
1645055453.3641756,19819,1645055453,362747930,,3.0,0.0,0.0,0.0,0.0,0.2864846885204315
1645055453.411777,19820,1645055453,410432469,,3.0,0.0,0.0,0.0,0.0,0.31038761138916016
1645055453.461593,19821,1645055453,460468993,,3.0,0.0,0.0,0.0,0.0,0.0
1645055453.5130844,19822,1645055453,510783050,,3.0,0.0,0.0,0.0,0.0,0.0
1645055453.5658426,19823,1645055453,562699817,,3.0,0.0,0.0,0.0,0.0,-0.33422356843948364
1645055453.6146727,19824,1645055453,611393534,,3.0,0.0,0.0,0.0,0.0,-0.33422356843948364
1645055453.6604865,19825,1645055453,659865844,,3.0,0.0,0.0,0.0,0.0,-1.8372178077697754
1645055453.712327,19826,1645055453,710528347,,3.0,0.0,0.0,0.0,0.0,-2.3642771244049072
