method,log_obs,total,location,velocity,angle,ω,fw_total,fw_location,fw_velocity,fw_angle,fw_ω
Handwritten,11.869 ± 0.046,1.0482 ± 0.0024,0.5579 ± 0.005,0.8328 ± 0.0034,0.10367 ± 0.00051,0.25275 ± 0.00042,1.1063 ± 0.004,0.474 ± 0.0034,0.9432 ± 0.0053,0.1536 ± 0.0019,0.2934 ± 0.0021
FitHand,27.2 ± 0.15,0.938 ± 0.011,0.458 ± 0.011,0.7709 ± 0.0059,0.08768 ± 0.00085,0.23234 ± 0.00049,0.957 ± 0.01,0.3818 ± 0.0079,0.8335 ± 0.0084,0.1085 ± 0.0019,0.25107 ± 0.00082
FitTV,18.39 ± 0.57,0.871 ± 0.024,0.5099 ± 0.0051,0.622 ± 0.036,0.10866 ± 0.00084,0.2987 ± 0.0035,1.05 ± 0.046,0.492 ± 0.027,0.826 ± 0.044,0.2158 ± 0.0029,0.3618 ± 0.0022
FitTruth,33.22 ± 0.54,0.4129 ± 0.0092,0.248 ± 0.009,0.2709 ± 0.0081,0.0651 ± 0.0019,0.169 ± 0.01,0.428 ± 0.018,0.1805 ± 0.0053,0.322 ± 0.012,0.0926 ± 0.0067,0.196 ± 0.013
EM,33.37 ± 0.18,0.4571 ± 0.0065,0.2662 ± 0.0076,0.3281 ± 0.0022,0.06299 ± 0.00038,0.1566 ± 0.0025,0.4561 ± 0.0021,0.20047 ± 0.00031,0.3624 ± 0.001,0.0806 ± 0.0015,0.1731 ± 0.0025
EM_NS,33.19 ± 0.16,0.4818 ± 0.0028,0.2701 ± 0.0041,0.3526 ± 0.0014,0.0655 ± 0.0011,0.1696 ± 0.0037,0.4921 ± 0.0013,0.21345 ± 0.00049,0.39204 ± 0.00065,0.0869 ± 0.002,0.188 ± 0.0037
SVI-m,-21.0 ± 38.0,1.11 ± 0.48,0.82 ± 0.39,0.61 ± 0.24,0.16 ± 0.061,0.29 ± 0.13,1.06 ± 0.52,0.45 ± 0.19,0.82 ± 0.4,0.24 ± 0.15,0.42 ± 0.24
SVI,-21.0 ± 38.0,1.11 ± 0.48,0.82 ± 0.39,0.61 ± 0.24,0.16 ± 0.061,0.29 ± 0.13,1.06 ± 0,0.45 ± 0.19,0.82 ± 0.4,0.24 ± 0.15,0.42 ± 0.24
