method,log_obs,total,location,velocity,angle,ω,fw_total,fw_location,fw_velocity,fw_angle,fw_ω
Handwritten,-5.188326181684221,1.323741,0.90167457,0.8902885,0.16107854,0.26012662,1.1019665,0.47154167,0.9383914,0.15136732,0.29199052
FitHand,3.953316164016724,1.0041077,0.7668961,0.54765916,0.14820477,0.24705327,0.72616786,0.32875046,0.57358766,0.12313175,0.2642075
FitTV,-3.4051740305764335,1.414471,0.90497303,0.87966096,0.17673534,0.37147993,1.4201316,0.6768552,1.1319902,0.26514867,0.4504704
FitTruth,10.710507358823502,0.48403057,0.33301648,0.28956762,0.08570712,0.1646446,0.41145635,0.17650458,0.3117821,0.0855321,0.18335383
EM,10.281059523991175,0.5592575,0.3744319,0.36778447,0.0858441,0.16190115,0.48283976,0.21731405,0.38534623,0.081863806,0.17501165
