method,log_obs,total,location,velocity,angle,ω,fw_total,fw_location,fw_velocity,fw_angle,fw_ω
Handwritten,-24.141 ± 0.073,1.7133 ± 0.003,1.2847 ± 0.0043,1.02415 ± 0.00089,0.22549 ± 0.00039,0.32527 ± 0.00057,1.194 ± 0.026,0.5186 ± 0.0042,1.003 ± 0.027,0.1673 ± 0.0011,0.3479 ± 0.0081
FitHand,-20.38 ± 0.12,1.124 ± 0.024,0.871 ± 0.017,0.593 ± 0.036,0.1769 ± 0.002,0.3014 ± 0.0094,0.801 ± 0.029,0.3629 ± 0.0053,0.617 ± 0.034,0.1474 ± 0.001,0.3274 ± 0.0091
FitTV,-25.86 ± 0.29,1.304 ± 0.024,0.93 ± 0.023,0.695 ± 0.025,0.2708 ± 0.0069,0.5022 ± 0.0059,1.288 ± 0.018,0.492 ± 0.015,0.8861 ± 0.009,0.434 ± 0.016,0.665 ± 0.023
FitTruth,-21.9 ± 0.52,0.815 ± 0.018,0.628 ± 0.015,0.4267 ± 0.009,0.1627 ± 0.0016,0.196 ± 0.002,0.5734 ± 0.0055,0.248 ± 0.0028,0.446 ± 0.0079,0.12506 ± 0.00077,0.2296 ± 0.0018
EM,-21.67 ± 0.21,1.002 ± 0.023,0.766 ± 0.021,0.56 ± 0.011,0.1788 ± 0.0049,0.2187 ± 0.0066,0.734 ± 0.012,0.3629 ± 0.0082,0.574 ± 0.01,0.1268 ± 0.001,0.2471 ± 0.0066
