name,log_obs,RMSE,open_loop
"obs_w=0.1, schedule=true",956.43 ± 0.74,0.1743 ± 0.0023,0.7236 ± 0.0025
"obs_w=0.4, schedule=true",961.4 ± 1.3,0.1792 ± 0.0023,0.7192 ± 0.0012
"obs_w=1.0, schedule=true",981.14 ± 0.51,0.1831 ± 0.0012,0.6597 ± 0.003
