name,log_obs,RMSE,RMSE_pos,open_loop
Handwritten,300.16 ± 0.1,0.7432 ± 0.0034,0.10575 ± 0.00099,4.0097 ± 0.0059
Super_Hand,303.3 ± 2.2,0.3126 ± 0.002,0.08333 ± 0.00089,1.6715 ± 0.005
Super_TV,316.7 ± 0.16,0.3317 ± 0.0014,0.08491 ± 0.00068,2.5166 ± 0.0072
Super_noiseless,343.23 ± 0.23,0.25512 ± 0.00064,0.06311 ± 0.00019,1.0539 ± 0.0034
EM,346.21 ± 0.19,0.22099 ± 0.0009,0.06375 ± 0.00028,0.7444 ± 0.0015
