pos_x,pos_y,angle_x,angle_y,vel_x,vel_y,ω,twist_linear,twist_angular
1.4902048,2.7041698,-0.9901491,-0.14001401,-0.6103071,-0.19276594,0.4002872,1.0765042,0.8483848
1.4273391,2.6843135,-0.9835351,-0.18070932,-0.7860661,-0.2827081,0.48599744,1.1134373,0.8774914
1.3463691,2.6551929,-0.97325915,-0.2296988,-0.8831344,-0.38201302,0.5567001,1.1134373,0.2387885
1.2554004,2.6158428,-0.95849425,-0.28510088,-0.91753125,-0.44827425,0.4449609,1.1134373,-0.45681614
1.1608887,2.5696678,-0.94442767,-0.3287186,-1.0046967,-0.4045179,-0.12202414,1.1134373,-0.74021864
1.0573982,2.5279996,-0.94848305,-0.3168216,-1.0778334,-0.22358157,-0.5256724,1.1134373,-0.79219115
0.94637424,2.5049694,-0.96423936,-0.26502404,-1.0838579,-0.09449723,-0.53998446,1.1134373,-0.79307204
0.8347297,2.4952354,-0.97748375,-0.21100935,-1.0679778,-0.019948909,-0.54701275,1.1134373,-0.79307204
0.7247209,2.4931805,-0.98781294,-0.15562595,-1.0649829,0.019760983,-0.557439,1.1134373,-0.7922541
0.6150206,2.4952161,-0.995116,-0.098680496,-1.0508417,0.0881894,-0.5522285,1.1431607,-0.7936589
0.5067769,2.5043,-0.99911845,-0.041946106,-1.0742084,0.16150858,-0.57373494,1.2549183,-0.83420527
0.39612636,2.5209367,-0.999851,0.01713915,-1.1614865,0.23474008,-0.60375375,1.4434035,-0.79006714
0.27648556,2.5451164,-0.9968509,0.079247154,-1.2135346,0.3071233,-0.52241683,1.4501233,-0.36514243
0.15148345,2.5767522,-0.99114794,0.13274981,-1.258158,0.32331628,-0.3122029,1.4639729,0.25723583
0.021884836,2.610056,-0.9863687,0.16455024,-1.3153936,0.2513449,0.14996852,1.4639729,0.99162894
-0.11360942,2.635946,-0.9887914,0.14929383,-1.3573166,0.09621084,0.6065969,1.4639729,1.1537459
-0.25342202,2.6458564,-0.99618196,0.08725934,-1.368424,-0.10379686,0.7905248,1.4639729,1.1537459
-0.39437878,2.6351647,-0.9999812,0.005941444,-1.352986,-0.22888985,0.78455245,1.4639729,1.1537459
-0.5337453,2.6115875,-0.99719167,-0.074802175,-1.3309804,-0.35399738,0.7733452,1.4639729,1.1537459
-0.6708451,2.5751233,-0.98807764,-0.15391704,-1.2864696,-0.45424375,0.816201,1.4639729,1.1537459
-0.80336,2.5283332,-0.97166616,-0.23634821,-1.2429829,-0.55437726,0.7796641,1.4639729,1.1537459
-0.9313955,2.4712288,-0.9495678,-0.31353578,-1.1809741,-0.64135814,0.7995424,1.4639729,1.1537459
-1.0530436,2.4051647,-0.9205569,-0.39058962,-1.1088667,-0.74863225,0.7819202,1.4639729,1.1537459
-1.1672642,2.3280506,-0.88615054,-0.46338928,-1.046516,-0.8301902,0.78260976,1.4639729,1.1537459
-1.2750623,2.2425354,-0.84595805,-0.53324354,-0.96865904,-0.9153377,0.7707041,1.4639729,0.0
-1.3748406,2.1482496,-0.8010032,-0.5986507,-0.9546623,-0.9284043,0.33490723,1.4434035,-0.49056044
-1.4731771,2.0526178,-0.7798829,-0.6259251,-1.038399,-0.8186744,-0.1793212,1.4674776,0.052244697
-1.580139,1.9682889,-0.79131097,-0.61141384,-1.0980428,-0.73623246,-0.08431053,1.4846034,1.1700046
-1.6932448,1.8924521,-0.79659045,-0.60451835,-0.99718374,-0.86898994,0.59033746,1.49059,1.1747226
-1.7959613,1.8029404,-0.7583743,-0.65180516,-0.8384647,-1.0348715,0.7900672,1.4846034,1.1700046
-1.8823287,1.6963418,-0.7028824,-0.71130294,-0.7424648,-1.1032314,0.76774263,1.4846034,1.1700046
-1.9588076,1.5827017,-0.6444881,-0.7646023,-0.6565038,-1.1652964,0.79488313,1.4556705,1.1472028
-2.0264318,1.4626684,-0.57979596,-0.81475323,-0.55541027,-1.1507413,0.6555877,0.8987182,0.708273
-2.0836427,1.3441344,-0.5234988,-0.85202444,-0.34338668,-0.89939576,0.4912094,0.68044066,0.5362501
-2.1190138,1.2514907,-0.47973683,-0.877411,-0.1891729,-0.67740434,0.45306876,0.77525485,0.61097246
-2.1385,1.1817136,-0.43828133,-0.89883626,-0.13208912,-0.5951575,0.4092581,0.935668,0.73739284
-2.1521058,1.1204084,-0.40001142,-0.91650826,-0.11270525,-0.6190195,0.4303093,1.0103458,0.7962458
-2.1637154,1.0566453,-0.35900834,-0.9333339,-0.113268696,-0.6906757,0.44619432,1.0274749,0.80974513
-2.1753829,0.9855011,-0.31574687,-0.9488413,-0.10279647,-0.76642305,0.48726642,1.0309763,0.81250453
-2.1859715,0.90655446,-0.26774523,-0.9634873,-0.066564925,-0.83203155,0.5210296,1.1114068,0.6776532
-2.1928282,0.8208497,-0.21567501,-0.97646445,-0.03371967,-0.89568794,0.48342934,1.1962079,0.0
-2.1963015,0.7285879,-0.16680309,-0.9859881,-0.037108723,-0.9708651,0.32734078,1.2371594,-0.11123399
-2.2001238,0.62858236,-0.13346905,-0.991053,-0.12795733,-1.0287716,-0.037844136,1.2371594,-0.4474763
-2.2133043,0.52261204,-0.13733132,-0.990525,-0.21035147,-1.0593345,-0.25629714,1.241137,-0.4604426
-2.234972,0.41349357,-0.16343054,-0.9865544,-0.29260728,-1.0854722,-0.29185888,1.2784203,-0.11426637
-2.2651124,0.30168277,-0.19301133,-0.9811957,-0.30890286,-1.1088693,-0.13093904,1.2990509,0.0
-2.2969315,0.18746187,-0.2062275,-0.97850406,-0.26562253,-1.1522719,-0.00864923,1.3941766,0.0
-2.3242924,0.06877022,-0.2070992,-0.97831994,-0.290972,-1.2621317,-0.011749347,1.5670644,0.0
-2.3542643,-0.061237697,-0.20828307,-0.9780686,-0.3006882,-1.3555939,-0.005732675,1.5670644,0.0
-2.3852372,-0.20087285,-0.20886058,-0.9779453,-0.315281,-1.3967587,0.010320775,1.5670644,0.0
-2.4177132,-0.34474826,-0.2078208,-0.9781669,-0.32615772,-1.4216812,-0.009531762,1.5670644,0.08390108
-2.4513097,-0.49119082,-0.2087811,-0.9779624,-0.32220355,-1.4184103,0.03736722,1.5808154,0.73771363
-2.4844987,-0.6372965,-0.2050153,-0.9787587,-0.28035256,-1.4503387,0.22499861,1.8806152,1.3477453
-2.513377,-0.786691,-0.182278,-0.9832458,-0.13184014,-1.6187348,0.79413277,2.0,1.5480754
-2.5269573,-0.95343137,-0.10132745,-0.9948489,0.07944532,-1.7287067,0.89855236,2.0,1.5761847
-2.518774,-1.1314996,-0.008945006,-0.9999483,0.26756772,-1.7689906,0.94956625,2.0,1.5761847
-2.4912128,-1.3137174,0.088748634,-0.9960447,0.46391967,-1.7632569,0.97811425,2.0,1.5761847
-2.443426,-1.4953445,0.18848394,-0.9820739,0.6347573,-1.7207175,0.97529215,2.0,1.5761847
-2.3780417,-1.6725898,0.28602564,-0.9582095,0.7904472,-1.6681612,0.97302485,2.0,1.5761847
-2.2966204,-1.8444215,0.3804694,-0.92478204,0.9880314,-1.5750265,1.0183598,2.0,1.5761847
-2.1948466,-2.0066597,0.4752116,-0.8798684,1.1552311,-1.4398453,1.022643,1.7733085,1.3975309
-2.0758502,-2.1549733,0.56508595,-0.8250186,1.2180407,-1.2536831,1.0187653,1.7733085,1.3975309
-1.9503839,-2.284111,0.6483953,-0.76128864,1.3171405,-1.0741786,0.9739174,1.8076369,1.4245847
-1.8147098,-2.3947585,0.72138405,-0.69252723,1.4105513,-0.9440891,0.9867034,2.0,1.0673866
-1.6694136,-2.4920058,0.78792685,-0.6157605,1.5101503,-0.85307825,0.7848846,2.0,1.1036298
-1.5138581,-2.5798786,0.83508116,-0.5501154,1.6031686,-0.7789378,0.7352586,2.0,1.208373
-1.3487211,-2.6601143,0.8743121,-0.48535314,1.6675792,-0.67120886,0.79554504,2.0,1.294194
-1.1769494,-2.7292533,0.9111093,-0.41215912,1.7337465,-0.51710707,0.8197702,2.0,1.3577375
-0.99836206,-2.7825189,0.9426187,-0.33384404,1.7893437,-0.33942422,0.87384176,2.0,1.519201
-0.81404775,-2.8174818,0.9688118,-0.2477605,1.7942142,-0.16972478,0.9940863,2.0,1.5761847
-0.6292318,-2.8349645,0.98906916,-0.14743304,1.8129551,0.04938129,1.0375048,2.0,1.5761847
-0.44248542,-2.8298779,0.99914473,-0.041090995,1.8041823,0.26396367,1.0268556,2.0,-0.05351975
-0.2566427,-2.802688,0.9978959,0.06462396,1.7779142,0.4115041,0.79150337,2.0,-1.2163837
-0.07350576,-2.7603002,0.9893311,0.14567964,1.8141236,0.33966532,-0.18449946,2.0,-1.3908752
0.11336099,-2.7253125,0.9919183,0.12685223,1.8294156,0.032597784,-0.8699326,2.0,-1.4376899
0.3018029,-2.7219546,0.999285,0.037577346,1.8041619,-0.23720297,-0.9043249,2.0,-0.9550011
0.48764354,-2.7463882,0.9984501,-0.05553598,1.7724506,-0.40805095,-0.7276647,2.0,0.38234603
0.6702177,-2.78842,0.99149406,-0.1301489,1.7612185,-0.34772712,0.057226516,2.0,1.5761847
0.85163486,-2.8242383,0.9922438,-0.1243021,1.7831587,-0.1620805,0.50264525,2.0,1.5761847
1.035312,-2.8409336,0.9973412,-0.07278383,1.7747871,0.11672186,0.99673647,2.0,1.5761847
1.2181269,-2.8289106,0.99955344,0.029817265,1.7518191,0.35091317,1.0030394,2.0,1.5761847
1.3985758,-2.7927642,0.9911423,0.13274743,1.7191844,0.5554035,0.99564767,2.0,1.5761847
1.5756632,-2.735554,0.97233635,0.23351988,1.6458977,0.73384047,1.0677755,2.0,1.5761847
1.7452016,-2.6599634,0.9408367,0.33884165,1.5687847,0.8863076,1.0121411,2.0,1.5761847
1.9067968,-2.568668,0.9004676,0.4349143,1.455158,1.073438,1.0474025,2.0,1.5761847
2.0566878,-2.4580967,0.8483927,0.52934337,1.3320539,1.2081854,0.9785066,1.512145,1.1917099
2.1938982,-2.3336456,0.7908321,0.6120307,1.0102345,1.1035208,0.61895496,0.48837548,0.384885
2.2979589,-2.2199757,0.75023174,0.6611745,0.38489714,0.5834536,0.25992852,0.013319683,0.010497141
2.337606,-2.159876,0.73226166,0.68102133,-0.049047016,0.068766646,0.1281634,-0.0,-0.0
2.3325539,-2.1527927,0.7232084,0.6906297,-0.09193403,-0.10314616,-0.037594415,-0.0,-0.0
2.3230839,-2.1634173,0.7258774,0.6878239,-0.092800364,-0.1075181,-0.0013570271,0.54458183,0.42918077
2.313525,-2.1744924,0.7259736,0.6877225,-0.054361917,-0.059913393,0.023809804,1.3275522,1.0462338
2.3079252,-2.1806638,0.7242847,0.6895009,0.042295627,0.08092188,0.1742506,1.446242,1.1397724
2.312282,-2.1723285,0.7117926,0.702389,0.33237347,0.51364446,0.407663,1.5009252,1.1828676
2.3465188,-2.1194196,0.6816775,0.731649,0.6291029,0.91572136,0.6283169,1.6396801,1.2922195
2.4113204,-2.0250943,0.6329285,0.77420264,0.7454034,1.2517589,0.80530536,1.670156,1.3162372
2.488102,-1.8961549,0.56660426,0.82398283,0.72539425,1.4715889,0.8558912,1.677965,1.3223915
2.5628223,-1.7445714,0.49185476,0.87067366,0.63085675,1.6430414,0.93596345,1.7295355,1.3630338
2.6278048,-1.5753273,0.4057547,0.913968,0.472252,1.7591871,1.0003664,1.752678,1.3812722
2.6764498,-1.3941194,0.3095908,0.95085996,0.27790397,1.8224564,0.9905409,1.752678,1.3812722
2.7050757,-1.2063943,0.21113238,0.97745687,0.07143825,1.8369998,1.0425792,1.752678,1.3812722
2.7124343,-1.0171711,0.10514536,0.99444926,-0.13234356,1.8089509,1.0504884,1.752678,1.3812722
2.6988022,-0.8308372,-0.002866353,0.9999823,-0.32356116,1.7451493,0.99929214,1.752678,0.15285628
2.6654732,-0.6510753,-0.10560247,0.994405,-0.3863435,1.7293072,0.4046935,1.7198659,0.034272388
2.6256773,-0.47294518,-0.14695211,0.98914355,-0.35363147,1.652011,0.15745352,0.655331,-0.26047826
2.5892508,-0.3027771,-0.16297476,0.98663026,-0.23676969,1.321791,-0.10593881,-0.0,0.0
2.564862,-0.16662388,-0.15219857,0.98834866,-0.066822045,1.2157445,-0.50364333,-0.48597464,0.3829929
2.5579789,-0.041394133,-0.10074275,0.99491215,0.048738603,0.39687625,-0.17205429,-0.57728815,0.45495638
2.5629992,-0.00051325024,-0.08309532,0.9965416,0.05897696,-0.3038251,0.07750194,-0.7422712,0.5849783
2.5690744,-0.031809248,-0.09104815,0.9958461,-0.07602776,-0.62500894,0.37555453,-0.7629017,0.60123706
2.561243,-0.096189305,-0.12949435,0.99157983,-0.084716395,-0.8569057,0.46896195,-0.758363,0.5976601
2.5525167,-0.18445627,-0.17722356,0.9841672,-0.083194986,-0.942813,0.5983253,-0.7388911,0.5823145
2.543947,-0.28157225,-0.23750408,0.9713818,-0.024720907,-0.99704045,0.6335868,-0.75489676,0.5949284
2.5414004,-0.38427404,-0.30035013,0.95382684,0.060675677,-0.95708,0.60832757,-0.63917965,0.5037326
2.5476506,-0.4828596,-0.35949007,0.9331468,0.14178875,-0.8759669,0.5511038,-0.44408545,-0.0
2.5622556,-0.57309,-0.41185376,0.91124505,0.16059884,-0.688599,0.4150034,-0.0,-0.0
2.5787985,-0.64402026,-0.45042148,0.8928156,0.07615109,-0.21888667,0.18525407,0.5217949,0.41122264
2.5866425,-0.666567,-0.46737564,0.88405865,-0.08501732,0.1808081,0.113525435,1.0722373,0.0010187726
2.5778852,-0.6479426,-0.47768155,0.878533,-0.2777455,0.48546946,0.021886589,1.1218182,-0.809556
2.5492756,-0.59793603,-0.4796607,0.8774533,-0.36607265,0.81347203,-0.35727802,1.1753289,-0.9262677
2.5115676,-0.51414305,-0.4470514,0.89450824,-0.3336128,1.0023232,-0.5293659,1.1753289,-0.9262677
2.4772034,-0.4108971,-0.39763397,0.91754067,-0.2839301,1.0956705,-0.54270416,1.1753289,-0.9262677
2.4479566,-0.2980358,-0.3457476,0.9383259,-0.20671529,1.1533031,-0.6334867,1.1753289,-0.9262677
2.4266636,-0.17923793,-0.28382608,0.9588733,-0.12152806,1.1772087,-0.6056968,1.1753289,-0.9262677
2.4141455,-0.057977643,-0.2234876,0.9747034,-0.022788031,1.1799432,-0.6452307,1.1753289,-0.9262677
2.411798,0.06356432,-0.15825982,0.9873923,0.040191468,1.1817272,-0.65381056,1.1753289,-0.9262677
2.4159381,0.18529004,-0.09145378,0.99580646,0.12143686,1.1539814,-0.6572037,1.1753289,-0.9262677
2.4284468,0.30415776,-0.023883365,0.999713,0.2078267,1.1339566,-0.65720433,1.1753289,-0.9262677
2.4498544,0.4209628,0.043796513,0.99903595,0.28675044,1.1050181,-0.63366073,1.1753289,-0.9262677
2.4793916,0.534787,0.10886544,0.9940533,0.33432493,1.0147377,-0.6117294,1.1753289,-0.9262677
2.5138292,0.63931173,0.17124507,0.98522323,0.43368524,1.081219,-0.65294784,1.1753289,-0.822942
2.5585017,0.75068444,0.23707221,0.9714875,0.47458568,0.99736893,-0.59476143,1.1753289,-0.4600508
2.6073873,0.85342,0.29610804,0.95515066,0.4755064,0.9810702,-0.3814941,1.1753289,-0.07272447
2.6563675,0.9544768,0.3334049,0.9427835,0.44102117,0.9893195,-0.09196101,1.1753289,0.045086194
2.7017956,1.0563833,0.3423205,0.93958324,0.39968562,1.003736,-0.004139176,1.1753289,0.65907437
2.742966,1.1597747,0.34272105,0.93943715,0.34189227,1.0166333,0.27289128,1.1753289,0.9262677
2.778183,1.2644947,0.3161814,0.9486969,0.19079953,1.0420816,0.6164884,1.1753289,0.9262677
2.7978368,1.371836,0.25533998,0.9668492,0.07815761,1.0525844,0.631865,1.1753289,0.9262677
2.8058875,1.4802592,0.19191408,0.9814041,0.0021072007,1.0552487,0.62074214,1.1939415,0.9409362
2.8061044,1.5889567,0.12881362,0.9916651,-0.054793168,1.0522825,0.57933295,1.1959593,0.9425264
2.8004603,1.6973488,0.06944195,0.99758583,-0.13233241,1.0554148,0.64464,1.2165898,0.9587852
2.7868292,1.8060635,0.0030956825,0.9999907,-0.20031622,1.0530181,0.68877864,1.2820066,1.0103396
2.7661953,1.9145314,-0.06780073,0.99769473,-0.29151043,1.0971953,0.6670535,1.3256562,1.0447395
2.736168,2.0275497,-0.13613982,0.990689,-0.37142375,1.1064819,0.71599334,1.365122,1.0758423
2.6979089,2.1415248,-0.20876823,0.9779614,-0.5061279,1.0858868,0.71037304,1.3815119,1.0887591
2.6457744,2.2533782,-0.27970585,0.96008056,-0.50385016,1.1422304,0.72254604,1.3954078,1.0997102
2.5938745,2.3710356,-0.35032168,0.9366246,-0.7132034,1.0252795,0.7396408,1.4021424,1.1050178
2.5204096,2.4766462,-0.42059684,0.9072452,-0.68928397,1.0721185,0.7494249,1.4021424,1.1050178
2.4494088,2.5870814,-0.48930943,0.87210596,-0.82600784,0.9821013,0.73701286,1.4021424,1.1050178
2.3643246,2.6882443,-0.55404377,0.8324818,-0.90678334,0.9151908,0.69777775,1.4021424,1.1050178
2.2709198,2.782515,-0.61239946,0.7905476,-0.96848947,0.84057134,0.79756236,1.4021424,1.1050178
