method,log_obs,total,location,velocity,angle,ω,fw_total,fw_location,fw_velocity,fw_angle,fw_ω
Handwritten,-1277.0 ± 90.0,1.493 ± 0.073,1.206 ± 0.079,0.545 ± 0.022,0.55 ± 0.024,0.1697 ± 0.0073,0.14114 ± 0.00088,0.05909 ± 0.00078,0.1156 ± 0.001,0.02449 ± 0.00013,0.04965 ± 0.00084
FitHand,33.97 ± 0.12,0.5349 ± 0.00074,0.49183 ± 0.00057,0.1996 ± 0.0011,0.03788 ± 0.00039,0.0349 ± 0.0016,0.1353 ± 0.0032,0.05179 ± 0.00049,0.10335 ± 0.00098,0.0318 ± 0.002,0.0625 ± 0.0039
FitTV,-61.0 ± 17.0,1.69 ± 0.17,1.54 ± 0.17,0.656 ± 0.044,0.102 ± 0.01,0.1118 ± 0.0044,0.414 ± 0.019,0.1539 ± 0.0092,0.32 ± 0.019,0.0887 ± 0.0018,0.1939 ± 0.0038
FitTruth,39.145 ± 0.019,0.3319 ± 0.0029,0.317 ± 0.0029,0.08973 ± 0.00052,0.03052 ± 0.00012,0.01832 ± 0.00012,0.062839 ± 9.3e-5,0.027033 ± 4.5e-5,0.050774 ± 8.6e-5,0.011949 ± 1.0e-5,0.022297 ± 1.6e-5
EM,39.141 ± 0.027,0.3721 ± 0.0033,0.3501 ± 0.0032,0.1172 ± 0.0013,0.030634 ± 9.9e-5,0.01927 ± 0.00011,0.08892 ± 0.0009,0.03823 ± 0.00041,0.07557 ± 0.00085,0.012829 ± 2.1e-5,0.023875 ± 5.4e-5
