method,log_obs,total,location,velocity,angle,ω,fw_total,fw_location,fw_velocity,fw_angle,fw_ω
Handwritten,-1203.2083089381456,1.4232682,1.1450356,0.51943433,0.53194636,0.16510691,0.14041147,0.058577046,0.11490827,0.024368605,0.048743233
FitHand,34.0450078368187,0.53403693,0.49139363,0.19885543,0.03746408,0.03340748,0.13253716,0.051447976,0.10274478,0.029923735,0.058883652
FitTV,-41.90965235233307,1.5016886,1.354706,0.61963624,0.09249233,0.10714422,0.39745086,0.14701018,0.3046999,0.08682087,0.18967153
FitTruth,39.16458892226219,0.32908523,0.31419626,0.089349896,0.030416891,0.018226605,0.06275015,0.026987705,0.05069897,0.011937063,0.022279304
EM,39.16797474324703,0.36828384,0.34639093,0.11620823,0.030519519,0.019161493,0.08801653,0.03782057,0.07472847,0.012808104,0.023835327
