method,log_obs,RMSE
Handwritten,-1257.9512882694603,1.4862626
FitHand,33.085074411332606,0.5261562
FitTV,-104.42388709783555,1.4383528
FitTruth,38.18443639576435,0.36415842
EM,37.533088283240794,0.41454545
SVI,27.059133717417716,0.7465655
