method,log_obs,RMSE
Handwritten,-1280.0 ± 20.0,1.51 ± 0.021
FitHand,32.46 ± 0.66,0.554 ± 0.03
FitTV,-116.0 ± 11.0,1.459 ± 0.019
FitTruth,37.9 ± 0.33,0.3747 ± 0.0092
EM,37.27 ± 0.33,0.4186 ± 0.0036
SVI,-470.0 ± 840.0,1.12 ± 0.49
