method,Hover,Hover160,Truck,Car
original,0.4186 ± 0.0036,0.37664 ± 0.00068,0.6894 ± 0.0031,0.5459 ± 0.0029
modified,0.39068 ± 0.00088,missing,missing,0.5565 ± 0.0036
