method,log_obs,RMSE
Handwritten,-380.958665060997,1.4688385
Super_Hand,1.9685164913535118,0.21590707
Super_TV,-154.17794987037777,0.86353505
Super_noiseless,5.82341745197773,0.18016352
VI,-5.674268119037151,0.2646107
EM,6.3544781163334845,0.18227649
