method,log_obs,RMSE
Handwritten,-50.64 ± 0.25,2.1376 ± 0.0082
FitHand,-21.33 ± 0.25,1.205 ± 0.024
FitTV,-27.89 ± 0.94,1.757 ± 0.014
FitTruth,-18.89 ± 0.4,1.272 ± 0.049
EM,-15.55 ± 0.19,0.738 ± 0.0044
