method,log_obs,RMSE
Handwritten,-50.38762627329145,2.128508
FitHand,-21.15190294470106,1.1882515
FitTV,-26.970226631845748,1.7445538
FitTruth,-18.46694738524301,1.2189213
EM,-15.415416983195716,0.7344605
