step,training_time,log_obs,RMSE
1,0.178264053,-12.166453174182347,1.4641807
501,55.396145966000034,3.5770513670785085,1.2663819
1001,110.81970894000001,13.235747064862933,1.0785571
1501,166.0941693529997,22.58230233192444,0.8992101
2001,221.37709225499972,27.803358963557653,0.79490817
2501,276.43861478399975,30.50966235569545,0.73839986
3001,331.9232441349998,31.89901508603777,0.7073049
3501,387.51054864399975,32.73818962914603,0.68760234
4001,443.2303681709996,33.41605646269662,0.67714554
4501,498.65535664099946,33.617575304848806,0.66463476
5001,554.8435679429992,33.97193380764553,0.6559318
5501,611.0908242050003,34.16717461177281,0.6495356
6001,666.7104668029998,34.12494700295584,0.63997453
6501,722.3444385910009,34.50310012272426,0.63297445
7001,778.3504388870006,34.77040253366743,0.62202865
7501,834.4756315510008,34.753623144967214,0.6113407
8001,890.7475713560001,34.69271888051714,0.6033388
8501,946.7971718119999,35.020338262830464,0.5959143
9001,1002.9912557260002,34.9961633001055,0.5846138
9501,1058.8586725230016,35.16873608316694,0.57615954
10001,1114.9455595550028,34.88564028058733,0.5688919
10501,1171.1290120360006,35.27767835344587,0.5600723
11001,1226.9638511660007,35.438214097704204,0.5520026
11501,1282.8464078089996,35.471980810165405,0.5459603
12001,1338.716963790998,35.56430101394653,0.53892547
12501,1394.6289067209946,35.472407647541594,0.5331395
13001,1450.5584610199937,35.35948419570923,0.5246991
13501,1506.4405783649963,35.71539872033255,0.51713145
14001,1562.2674888629963,35.58809651647295,0.5107513
14501,1617.9335501169942,35.55191305705479,0.50608623
15001,1673.7052532729958,35.78902333123343,0.50076824
15501,1729.5153760449946,35.887175866535735,0.49390408
16001,1785.179841943992,35.737148829868865,0.48950484
16501,1840.5903948939942,35.7765690599169,0.48419878
17001,1896.1286594649919,35.715302978243145,0.47904152
17501,1951.6272776209933,35.88985289846148,0.4729181
18001,2007.1270364829893,35.746876989092144,0.46871215
18501,2062.325327022989,35.480655908584595,0.46317944
19001,2118.072003691991,36.06676084654672,0.46032506
19501,2173.618034125993,35.9705627986363,0.45636353
20001,2228.866100722992,36.083706447056365,0.45383725
20501,2284.0660831989885,35.892301184790476,0.4512106
21001,2339.183633342994,35.994142055511475,0.4470833
21501,2394.3005446709967,35.73933345930917,0.4438327
22001,2449.614763090993,35.86909900392805,0.44231963
22501,2504.8621944149936,35.86186160360064,0.4386955
23001,2560.1133413189923,36.05815315246582,0.43578523
23501,2615.168613783995,35.740483386175974,0.43453196
24001,2670.726417329997,35.748082637786865,0.43137315
24501,2726.30667242,35.993664843695505,0.42936772
25001,2781.8947440650027,35.858242409569876,0.42540526
25501,2837.418418092006,35.96168954031808,0.42326805
26001,2892.87973889601,35.69526151248387,0.42186496
26501,2948.4017176160055,36.02397101266043,0.41972494
27001,3003.9729751560017,35.98034075328282,0.41941062
27501,3059.5195501939993,35.78468772343227,0.4176964
28001,3115.358586815004,35.8017851965768,0.4155336
28501,3171.0329640630066,36.250017983572825,0.4137203
29001,3226.713227781006,35.96653631755284,0.4124589
29501,3282.112941083011,35.632617473602295,0.41205153
30001,3337.8361108100116,35.850192649023874,0.41174573
30501,3393.5579105280094,35.780712842941284,0.40874314
31001,3449.3586512220095,35.66707290921892,0.40813684
31501,3505.4035930670043,35.97902079990932,0.4064497
32001,3560.568762368008,36.08476342473711,0.40763816
32501,3615.9879990400127,35.702496324266704,0.40738228
33001,3671.437314966011,35.59761078017099,0.40812612
33501,3726.8698547680124,35.39565910611834,0.4057951
34001,3782.24347175301,35.273399761744905,0.4073859
34501,3837.5582040570107,35.63996161733355,0.40623042
35001,3892.859492647005,35.3543633052281,0.4042403
35501,3948.271844545007,35.89967935425894,0.40337744
36001,4003.592608436999,35.052329131535124,0.40294006
36501,4059.481675706,35.58990260532924,0.40219444
37001,4115.721633016002,35.08021521568298,0.4032623
37501,4172.459252714011,33.95189772333418,0.40178084
38001,4227.915603045009,35.32829785346985,0.40082937
38501,4282.612885896005,35.88691479819162,0.39903158
39001,4337.228612557992,35.50263854435512,0.3995382
39501,4392.507826482995,35.601722070149016,0.39905593
40001,4447.76893770899,35.189808402742656,0.3997643
40501,4503.373213914997,34.20820443970816,0.40120694
41001,4558.993944797991,35.136403117861065,0.3984301
41501,4614.180644325995,35.07715507916042,0.39911413
42001,4668.981339541984,35.439174754279,0.39807382
42501,4723.841450137986,34.960642542157856,0.4007682
43001,4778.70668881899,34.92599252292088,0.40013236
43501,4833.632552989995,35.508755343300955,0.4000146
44001,4888.465802480991,34.38759190695627,0.39981458
44501,4943.176049989992,35.51930488858904,0.40075064
45001,4997.736687485986,35.06331648145403,0.4008614
45501,5052.239778592992,35.31846737861633,0.39909878
46001,5106.853228339976,35.12748428753444,0.40152672
46501,5161.280034760982,35.24326160975865,0.3995174
47001,5215.61424855798,34.475522892815725,0.40440995
