step,training_time,log_obs,RMSE
1,0.413502788,-21.574669667652675,1.4755898
501,123.32333780099992,7.026873758860996,1.199145
1001,242.53508379099998,19.291932582855225,0.9594871
1501,361.06833901,26.48232184137617,0.81636256
2001,475.2553466030001,30.016161475862777,0.74391085
2501,588.6324753079992,31.848238263811385,0.7056014
3001,699.9313355119995,32.83444612366812,0.6857406
3501,811.8533905139989,33.2662843976702,0.6730248
4001,923.1037987889988,33.70460227557591,0.65980166
4501,1034.4104409359993,34.053646087646484,0.6518744
5001,1145.5316966039986,34.12833537374224,0.64068216
5501,1258.8717262310006,34.33608726092747,0.6316943
6001,1371.4986337570006,34.51449704170227,0.6239795
6501,1483.9279553080019,34.529888084956575,0.6147313
7001,1596.3634471219993,34.777115617479595,0.6058045
7501,1709.3019138880004,34.9313314301627,0.5997986
8001,1821.0814753690006,35.14233936582293,0.5925445
8501,1933.807854176003,35.19366870607649,0.581419
9001,2047.3315974440052,35.26141292708261,0.57027435
9501,2160.877674975999,35.11116565976824,0.5646209
10001,2274.7042158449963,35.284492458615986,0.5569782
10501,2389.353979568997,35.39584745679583,0.54738677
11001,2503.4160353089937,35.53138034684317,0.5394451
11501,2616.5594058439947,35.44113084248134,0.5332628
12001,2730.255714135995,35.515539748328074,0.5257491
12501,2844.378989371994,35.757192032677786,0.5188779
13001,2958.306995343995,35.72687946047102,0.5114326
13501,3072.1069960889927,35.68717271941049,0.50460726
14001,3186.1849907479964,35.84876636096409,0.4993114
14501,3300.047508801995,35.85357935088022,0.4933193
15001,3413.343424571997,35.88909012930734,0.4862147
15501,3527.5434231819945,35.78338868277414,0.48129988
16001,3641.1351493199986,35.90758337293352,0.47689942
16501,3753.859447340996,36.06385660171509,0.4716659
17001,3865.779325414991,35.69148656300136,0.4673346
17501,3978.7053747759905,36.32343912124634,0.46270353
18001,4092.1636161639913,35.968629939215525,0.45846137
18501,4205.356255242997,36.04168612616403,0.45466948
19001,4319.660463400002,36.13270333835057,0.4517673
19501,4432.7599647540055,35.88281117166792,0.44776574
20001,4547.773035126,35.848110233034404,0.44403836
20501,4661.5279909010005,35.97890257835388,0.44149843
21001,4775.794188859995,35.983587878090994,0.4379222
21501,4890.197452407997,36.060480560575215,0.43417755
22001,5003.815266721003,36.05725564275469,0.43244678
22501,5116.979156420998,35.75747299194336,0.4282132
23001,5229.839264272004,36.09945573125567,0.42649975
23501,5343.857133661002,35.90031140191214,0.42454928
24001,5457.795282579996,36.250044107437134,0.42236742
24501,5571.340601478989,35.695134094783235,0.42069346
25001,5686.706873981001,35.97218673569815,0.41812834
25501,5801.00001759801,35.8802056312561,0.41607818
26001,5915.6829030020035,35.32215091160366,0.41412535
26501,6030.952850253001,35.92925231797354,0.41241023
27001,6147.310395207002,35.837122849055696,0.40900478
27501,6261.996654872001,36.22608256340027,0.407766
28001,6377.526004757995,35.7283204964229,0.4070259
28501,6492.512995368992,35.54590293339321,0.40578443
29001,6607.60821230599,35.80929057938712,0.40557164
29501,6722.876234933988,36.02070958273752,0.40284923
30001,6837.870114325987,36.084523575646536,0.4011063
30501,6953.3351031439815,35.67883576665606,0.40327343
31001,7068.125202217979,35.6332448550633,0.40071034
31501,7185.369761327978,35.988673142024446,0.3996618
32001,7301.180230959974,35.93249259676252,0.39755112
32501,7421.25354907598,35.826151439121794,0.39688772
33001,7537.669818238987,35.88430711201259,0.3974871
33501,7653.139244061987,35.6170574256352,0.39648196
34001,7768.404365533982,35.27362251281738,0.39649376
34501,7884.495113465982,35.44890587670462,0.39631063
35001,8001.473025770984,35.58790734836033,0.39592797
35501,8118.762612654987,35.69177205221994,0.39501336
36001,8235.683368021986,35.49615080016,0.39717847
36501,8352.392893900971,34.71169744219099,0.39601108
37001,8468.185206654965,35.702365091868806,0.3949306
37501,8586.25228146896,35.63909026554653,0.3935538
38001,8702.265455153974,35.82765051296779,0.392378
38501,8817.005080452976,34.888615233557566,0.39281636
39001,8933.274816979982,35.56966948509216,0.39244252
39501,9049.10487280897,35.16250480924334,0.39113832
40001,9164.584054319954,35.54098629951477,0.39133713
40501,9279.302285980972,35.096082414899556,0.39235565
41001,9396.630130001975,35.12428569793701,0.3913705
41501,9512.755738877966,35.29667901992798,0.39186576
42001,9635.563367712988,34.8644711630685,0.3926331
42501,9756.590631927987,35.730526140757966,0.39211097
43001,9875.479563937952,35.211885929107666,0.39200118
43501,9991.454582979972,35.71754172870091,0.39118606
44001,10106.821457152966,35.0588664667947,0.391748
44501,10222.374288739968,35.145319189344136,0.39308828
45001,10337.576251790948,34.9407058443342,0.39239958
45501,10452.86986537295,35.44145720345633,0.3921648
46001,10568.710173493946,35.36014291218349,0.3929256
46501,10684.760425179937,33.18497354643686,0.39499527
47001,10803.978223596954,35.39493802615574,0.39394838
47501,10924.935161488947,35.35851740837097,0.39355466
48001,11042.398535019945,35.363759585789275,0.39324498
48501,11156.118080305947,35.15934589930943,0.3946295
49001,11270.690651937935,35.103159938539775,0.39449477
49501,11385.021086270946,35.39352028710501,0.3940951
50001,11499.15785160795,35.26166694504874,0.3939364
50501,11613.936278818961,34.98914756093706,0.39461926
51001,11728.336893667962,34.932350873947144,0.39339688
51501,11842.889319872966,35.06015501703535,0.39410296
52001,11957.650423215951,35.52580319132124,0.39406395
52501,12072.832592497944,34.70918141092573,0.39391485
53001,12187.636932016923,35.112692492348806,0.39380026
53501,12301.690511924933,34.38779238292149,0.39269254
54001,12416.169422975925,35.128240142549785,0.39268255
54501,12531.633767024927,35.043570143835886,0.39127356
