method,log_obs,total,location,velocity,angle,ω,fw_total,fw_location,fw_velocity,fw_angle,fw_ω
Handwritten,11.887740261214121,1.0493653,0.5559143,0.8302393,0.10347326,0.2529636,1.106204,0.47154167,0.94219303,0.15220073,0.29199052
FitHand,27.520272302627564,0.9348399,0.44687063,0.77121717,0.08678438,0.23233935,0.9556998,0.37615654,0.83385944,0.10668532,0.25026432
FitTV,18.620132963997975,0.8436621,0.5041727,0.5804644,0.108250365,0.29522765,0.9972016,0.4611546,0.77550733,0.2127041,0.3597745
FitTruth,33.80917856352669,0.40616116,0.23756814,0.26174116,0.06310262,0.1573299,0.40737304,0.1744649,0.30844086,0.08530135,0.18194145
EM,33.41301920754569,0.44891658,0.25783736,0.32585534,0.062181078,0.15204546,0.44921649,0.19558145,0.35879016,0.07900908,0.16902824
