method,log_obs,RMSE
Handwritten,-1290.0978307709097,1.4856193
Super_Hand,37.63684234619141,0.50111836
Super_TV,-123.7591710820794,1.5112617
Super_noiseless,42.05103245526552,0.3025895
EM,42.046888932585716,0.3408915
