method,log_obs,total,location,velocity,angle,ω,fw_total,fw_location,fw_velocity,fw_angle,fw_ω
Handwritten,11.210924039167516,1.0996708,0.538862,0.8909338,0.10434584,0.30781925,1.1729379,0.5112146,0.9805282,0.1668167,0.35154608
FitHand,18.788975491243253,0.8335611,0.40872878,0.6539563,0.09442741,0.27213052,0.87428266,0.35631388,0.7246302,0.1353046,0.30413225
FitTV,0.5820968010846307,0.8816617,0.51287365,0.5883752,0.13942821,0.36681843,1.1240393,0.4914554,0.8466156,0.28239793,0.4656493
FitTruth,-6.972652196884155,0.60618174,0.40613145,0.3707149,0.10266545,0.18811217,0.5795089,0.2488276,0.44480345,0.12797698,0.23309499
EM,0.6634268143597771,0.64362395,0.41841364,0.41234818,0.09960003,0.19856162,0.61019844,0.28944913,0.4699486,0.11812681,0.23154245
