name,log_obs,RMSE,open_loop
"obs_w=0.25, schedule=false",972.37 ± 0.19,0.2341 ± 0.0014,0.8595 ± 0.0029
"obs_w=0.25, schedule=true",975.85 ± 0.11,0.21755 ± 0.00098,0.7469 ± 0.0016
"obs_w=1.0, schedule=false",856.1 ± 9.4,0.329 ± 0.01,6.744 ± 0.017
"obs_w=1.0, schedule=true",965.52 ± 0.13,0.23998 ± 0.00086,0.8076 ± 0.003
"obs_w=4.0, schedule=false",891.48 ± 0.3,0.317 ± 0.0022,4.29 ± 0.016
"obs_w=4.0, schedule=true",916.19 ± 0.48,0.2853 ± 0.0033,2.258 ± 0.0023
