name,log_obs,RMSE,RMSE_pos,open_loop
Handwritten,-6450.0 ± 630.0,1.84 ± 0.17,1.71 ± 0.16,1.811 ± 0.098
Super_Hand,290.443 ± 0.041,0.5614 ± 0.0044,0.4992 ± 0.0043,1.9903 ± 0.002
Super_TV,-72.0 ± 20.0,1.184 ± 0.018,1.095 ± 0.018,7.2041 ± 0.0041
Super_noiseless,297.661 ± 0.015,0.3171 ± 0.0011,0.296 ± 0.0011,1.1755 ± 0.0026
EM,293.47 ± 0.2,0.2915 ± 0.0033,0.2642 ± 0.0034,0.8055 ± 0.0025
