name,log_obs,RMSE,RMSE_pos,open_loop
Handwritten,-4240.0 ± 540.0,1.661 ± 0.092,1.545 ± 0.086,1.83 ± 0.1
Super_Hand,290.63 ± 0.12,0.6195 ± 0.0039,0.5409 ± 0.0038,2.5004 ± 0.0062
Super_TV,-41.0 ± 58.0,1.216 ± 0.043,1.132 ± 0.042,6.7834 ± 0.0059
Super_noiseless,296.635 ± 0.016,0.32957 ± 0.00085,0.30831 ± 0.00083,1.2436 ± 0.0025
EM,296.578 ± 0.085,0.2659 ± 0.0037,0.2453 ± 0.0039,0.8072 ± 0.0023
