name,log_obs,RMSE,open_loop
"obs_w=0.25, schedule=false",385.203 ± 0.031,0.3445 ± 0.00058,0.9426 ± 0.0045
"obs_w=0.25, schedule=true",389.689 ± 0.022,0.32859 ± 0.00014,0.8946 ± 0.0022
"obs_w=1.0, schedule=false",384.822 ± 0.013,0.35936 ± 0.00034,0.9526 ± 0.0048
"obs_w=1.0, schedule=true",386.554 ± 0.059,0.32454 ± 0.00094,0.8793 ± 0.0033
"obs_w=4.0, schedule=false",343.277 ± 0.055,0.5076 ± 0.0027,4.956 ± 0.016
"obs_w=4.0, schedule=true",379.36 ± 0.013,0.34958 ± 0.00031,0.9907 ± 0.0058
