name,log_obs,RMSE,RMSE_pos,open_loop
Handwritten,-19200.0 ± 3800.0,1.88 ± 0.17,1.77 ± 0.16,1.73 ± 0.13
Super_Hand,256.5 ± 8.1,0.1461 ± 0.0032,0.1056 ± 0.0028,2.2043 ± 0.0068
Super_TV,323.6 ± 1.3,0.1104 ± 0.0016,0.0674 ± 0.0013,4.2657 ± 0.0093
Super_noiseless,357.26 ± 0.12,0.0733 ± 0.0007,0.04767 ± 0.0007,1.2369 ± 0.002
EM,361.04 ± 0.12,0.06234 ± 0.00027,0.04294 ± 0.00024,0.8116 ± 0.0021
