method,log_obs,total,location,velocity,angle,ω,fw_total,fw_location,fw_velocity,fw_angle,fw_ω
Handwritten,14.840533314031713,0.93730754,0.28785843,0.83229655,0.07640992,0.29955286,1.1636227,0.51571536,0.9719789,0.16641694,0.33863056
FitHand,-170.35642229441333,0.6656998,0.26457608,0.5390209,0.07408248,0.23353882,0.7892068,0.3252465,0.6465762,0.13368145,0.27746588
FitTV,16.013464793913506,0.65554625,0.25095022,0.47430548,0.10707059,0.3481758,1.0437272,0.4190595,0.78073,0.2818449,0.47049105
FitTruth,-448.31573003881124,0.53291833,0.2626823,0.3594544,0.08618032,0.231245,0.64973474,0.259669,0.48852992,0.15320627,0.2881094
EM,-419.7070301308351,0.555418,0.31981704,0.37421006,0.08698371,0.19148281,0.602606,0.2747024,0.4663605,0.12399073,0.2341083
SVI,-5359.6616783447125,2.7372875,2.163273,1.3320845,0.4031512,0.5518196,2.1331604,0.9124862,1.667964,0.5238941,0.80165136
