method,log_obs,RMSE
Handwritten,-1122.0 ± 37.0,1.3273 ± 0.0091
FitHand,71.09 ± 0.36,0.7224 ± 0.0012
FitTV,-76.0 ± 53.0,0.7074 ± 0.0095
FitTruth,65.2 ± 1.6,0.728 ± 0.017
EM,75.8 ± 1.8,0.52233 ± 0.00027
