method,log_obs,RMSE
Handwritten,11.27765078825109,1.0977621
FitHand,9.08878995110007,0.7237361
FitTV,-1.737007463679594,0.87409747
FitTruth,-3.454789698825162,0.59677845
EM,-41.23486473840826,0.6864196
SVI,-98.02548578486724,1.0508382
